Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Grid Voltage (-),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Internal Mass Heat Gain - Indoor (W),Floor Heat Gain - Indoor (W),Roof Heat Gain - Indoor (W),Wall Heat Gain - Indoor (W),Window Heat Gain - Indoor (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W),Exterior Wall Ext. Solar Gain (W),Exterior Wall Ext. LWR Gain (W),Exterior Wall Ext. Surface Temperature (C),Exterior Wall Ext. Film Coefficient (m^2-K/W),Attic Wall Ext. Solar Gain (W),Attic Wall Ext. LWR Gain (W),Attic Wall Ext. Surface Temperature (C),Attic Wall Ext. Film Coefficient (m^2-K/W),Attic Roof Ext. Solar Gain (W),Attic Roof Ext. LWR Gain (W),Attic Roof Ext. Surface Temperature (C),Attic Roof Ext. Film Coefficient (m^2-K/W),Window Ext. Solar Gain (W),Window Ext. LWR Gain (W),Window Ext. Surface Temperature (C),Window Ext. Film Coefficient (m^2-K/W),Door Ext. Solar Gain (W),Door Ext. LWR Gain (W),Door Ext. Surface Temperature (C),Door Ext. Film Coefficient (m^2-K/W),Exterior Wall Indoor LWR Gain (W),Exterior Wall Indoor Surface Temperature (C),Exterior Wall Indoor Film Coefficient (m^2-K/W),Attic Floor Indoor LWR Gain (W),Attic Floor Indoor Surface Temperature (C),Attic Floor Indoor Film Coefficient (m^2-K/W),Floor Indoor LWR Gain (W),Floor Indoor Surface Temperature (C),Floor Indoor Film Coefficient (m^2-K/W),Window Indoor LWR Gain (W),Window Indoor Surface Temperature (C),Window Indoor Film Coefficient (m^2-K/W),Door Indoor LWR Gain (W),Door Indoor Surface Temperature (C),Door Indoor Film Coefficient (m^2-K/W),Interior Wall Indoor LWR Gain (W),Interior Wall Indoor Surface Temperature (C),Interior Wall Indoor Film Coefficient (m^2-K/W),Indoor Furniture Indoor LWR Gain (W),Indoor Furniture Indoor Surface Temperature (C),Indoor Furniture Indoor Film Coefficient (m^2-K/W),Attic Wall Attic LWR Gain (W),Attic Wall Attic Surface Temperature (C),Attic Wall Attic Film Coefficient (m^2-K/W),Attic Roof Attic LWR Gain (W),Attic Roof Attic Surface Temperature (C),Attic Roof Attic Film Coefficient (m^2-K/W),Attic Floor Attic LWR Gain (W),Attic Floor Attic Surface Temperature (C),Attic Floor Attic Film Coefficient (m^2-K/W)
2019-01-15 12:00:00,0,0,0,0.0,0.0,0.0,1,24.426174049040032,0,13.301922755337861,12.2,6.529479366362011,-272.3794805106305,-147.25590278221284,-54.13234186060051,-338.2874453493705,-178.04089387480096,2.96998264,588.5550803740844,-136.95987422084715,153.91613695693627,-5.642108995141207,5.3627340692498535,64.78593795002728,0.045,0.004303910484820662,0.026896284787967992,0.014155531490728268,0.6006458904616878,2.96998264,295.11121793414145,0.10330217865847763,6.526211256116865,0.0017940183445406582,2.30529736,0.9971751418733165,0.052294789485105804,-59.28059887948109,-87.97530390273174,22307.276956247588,-2945.1031697696894,13.2,0.06867587875583193,1968.3276629356342,-913.2347811839488,13.2,0.06867587875583193,50378.94646255045,-10211.383820991361,13.2,0.0672846125515661,1017.6811296291035,-495.4851684762744,13.2,0.06867587875583193,90.74588188572294,-63.19963883625943,13.2,0.06867587875583193,11.25038020881766,23.260354836132986,0.32548586590269935,-85.56081134568376,23.4290189905163,0.5611340362873486,448.59590669767204,22.52514908896323,0.2805103236939845,127.2838379671075,21.62773876683892,0.32548586590269935,7.8559838436979135,22.486446029771738,0.32548586590269935,-363.87521240828937,23.89671092306282,0.32548586590269935,-145.55008496331357,23.896710923062816,0.32548586590269935,21.430850748512967,13.150902868995834,0.32548586590269935,118.70987987844273,13.118708367822009,0.5362639706129531,-140.14073062693933,13.578964987192807,0.5611340362873486
2019-01-15 12:01:00,0,0,0,0.0,0.0,0.0,1,24.363044805468213,0,13.29487573480547,12.2,6.529479366362011,-283.5015540746633,-145.06318470081544,-52.759552976268544,-336.5407148964022,-167.87667859844905,2.96998264,588.4183030468345,-109.7050684098966,-1138.4043077881338,-192.34401888266984,-433.4469741605019,-208.76624983662936,0.045,0.004216535769148844,0.026896284787967992,0.013416679637802503,0.5897041719967643,2.96998264,270.70540975645645,0.07919279360958834,8.41682893764352,0.0017940322065063993,2.303748357098654,0.9825515065386381,0.05212730336184109,-58.71284177463421,-86.35034292618124,22250.868202098794,-3404.246162093722,14.299999999999999,0.06867587875583193,1927.3274554666793,-1055.2505352285002,14.2972499527989,0.06867587875583193,50388.4476981538,-10879.67724504688,14.299999999999999,0.0672846125515661,1017.4446255030753,-572.7315431505322,14.299999999999999,0.06867587875583193,90.74442663669596,-67.52692731547343,13.684669520205489,0.06867587875583193,17.220785940509813,22.933192411647404,0.32548586590269935,-79.76527755040297,23.105612546320835,0.5611340362873486,399.67486848540284,22.292039302262562,0.2805103236939845,100.98031584753426,21.654177027302715,0.32548586590269935,7.4510056365903665,22.211263913601904,0.32548586590269935,-319.8873528244003,23.510574835277684,0.32548586590269935,-125.67434553522253,23.50097856452929,0.32548586590269935,20.36707294493135,13.166261724319247,0.32548586590269935,116.93853413662146,13.128767245730202,0.5362639706129531,-137.30560708155826,13.580737906851226,0.5611340362873486
2019-01-15 12:02:00,0,0,0,0.0,0.0,0.0,1,24.30201111061871,0,13.288652345759283,12.2,6.529479366362011,-286.6837678148618,-139.5912105134179,-51.41804822539905,-334.8519664270893,-158.22181041264608,2.96998264,588.2938942834548,-88.83616564526645,-1094.624257495109,-180.1754593957469,-416.4484629797905,-214.01307490932794,0.045,0.0041300473252945035,0.026896284787967992,0.01270883643878203,0.579184838033843,2.96998264,254.8380746102726,0.07948355581034246,8.391000554978161,0.001794046265331384,2.3022330118341743,0.9827531063265526,0.051978943695867266,-58.212958839589746,-81.37825167382816,22194.258492756737,-3872.937263929081,15.409999999999997,0.06867587875583193,1886.3256404145513,-1105.8129125400944,14.684891780386593,0.06867587875583193,50396.71165898665,-11561.868167061111,15.409999999999997,0.0672846125515661,1017.2295080823379,-648.1034009808988,15.36126956907728,0.06867587875583193,90.74316041124894,-68.52594716200852,13.796214426578558,0.06867587875583193,19.319804319173272,22.893297377717136,0.32548586590269935,-76.91401259526901,23.06553580754179,0.5611340362873486,400.32609604759637,22.25538068785216,0.2805103236939845,88.07136585390072,21.787745821269663,0.32548586590269935,7.645938197167084,22.155731324944785,0.32548586590269935,-316.33711453708383,23.46948516081437,0.32548586590269935,-122.11207728548106,23.450866488352048,0.32548586590269935,22.32964292554061,13.178603247996444,0.32548586590269935,108.22755120491638,13.17095925637671,0.5362639706129531,-130.55719413045153,13.595636487540391,0.5611340362873486
2019-01-15 12:03:00,0,0,0,0.0,0.0,0.0,1,24.24292325883464,0,13.283908789586205,12.2,6.529479366362011,-279.16200201850825,-133.00398364840044,-50.10533166567141,-333.2170577180328,-149.04193189169814,2.96998264,588.1814689183597,-68.61121639814635,-1064.1337891793055,-168.65093937471002,-400.49025247314836,-214.52281828858224,0.045,0.004044352588383587,0.026896284787967992,0.012030219199943149,0.5690630545232757,2.96998264,250.23233661689403,0.07976621379687378,8.366210765677899,0.0017940603120267429,2.3007718601431004,0.9829483573934801,0.051865576827743266,-57.83289891225825,-75.17108473614218,22137.448874070753,-4347.498022272243,16.520999999999997,0.06867587875583193,1845.3229775888744,-1109.7552693012274,14.715050533787084,0.06867587875583193,50403.738185371,-12252.602512172742,16.520999999999997,0.0672846125515661,1017.0351113701793,-673.5389340977246,15.716784356421355,0.06867587875583193,90.74208343563105,-68.532109699967,13.79690209713467,0.06867587875583193,19.15013844956411,22.88989603640234,0.32548586590269935,-76.7616827238162,23.061513513634647,0.5611340362873486,397.21080037029606,22.25689521005087,0.2805103236939845,84.5533037550922,21.83003557201104,0.32548586590269935,7.730356883670538,22.143288308934398,0.32548586590269935,-313.0915802653908,23.46027079512914,0.32548586590269935,-118.7913364694432,23.433134126741265,0.32548586590269935,25.060680836813845,13.204744423550215,0.32548586590269935,97.17552784788859,13.236817590717,0.5362639706129531,-122.23620868470607,13.627288619549061,0.5611340362873486
2019-01-15 12:04:00,0,0,0,0.0,0.0,0.0,1,24.185823382909586,0,13.28109566742601,12.2,6.529479366362011,-266.97466999584395,-124.9429413939378,-48.823158340096455,-331.63715454644586,-140.33306914625993,2.96998264,588.0806247645306,-49.89687087572,-1040.124310911142,-157.7033452016888,-385.4372263909787,-213.17172615246633,0.045,0.003959633451683654,0.026896284787967992,0.011381228373188206,0.5593465334621589,2.96998264,250.84872939695828,0.08004045882609753,8.342483881574584,0.0017940743470186865,2.2993615306760558,0.9831371128093442,0.05179822845116518,-57.60790017800139,-67.33504121593641,22080.440281115516,-4827.594136708957,17.632099999999998,0.06867587875583193,1804.320143811512,-1100.8478546617685,14.646895942168346,0.06867587875583193,50409.52715695465,-12951.393698266309,17.632099999999998,0.0672846125515661,1016.8607399378233,-676.8376315423368,15.76279451434458,0.06867587875583193,90.74119589980002,-68.44089658862316,13.786723225446321,0.06867587875583193,17.760010140504164,22.887193674900082,0.32548586590269935,-78.03813114302466,23.05794778542401,0.5611340362873486,395.64723471255274,22.25378968857394,0.2805103236939845,84.77344456843002,21.821355212147317,0.32548586590269935,7.788937578079185,22.1315121322915,0.32548586590269935,-311.67933920827636,23.452191701675908,0.32548586590269935,-116.25215664825373,23.416738307448515,0.32548586590269935,28.550177064955278,13.24208079941576,0.32548586590269935,83.19689233719691,13.324603623285684,0.5362639706129531,-111.74706940213946,13.6719097153362,0.5611340362873486
2019-01-15 12:05:00,0,0,0,0.0,0.0,0.0,1,24.130648587422197,0,13.280595489105858,12.2,6.529479366362011,-254.27391451020384,-115.81394459680428,-47.57098527388492,-330.11051665152985,-132.0749021481654,2.96998264,587.9909428588132,-32.3336501543901,-1020.7307639281884,-147.26464119153306,-371.19838873102367,-211.5735250722629,0.045,0.0038759224654489996,0.026896284787967992,0.01076101487935919,0.5500244615582043,2.96998264,252.5125069233763,0.08030648801924187,8.319253440471087,0.0017940883707144785,2.297998826399508,0.9833195730842966,0.05178624461428159,-57.567925607902964,-58.24601898890131,22023.23368996527,-5313.229753366321,18.743209999999998,0.06867587875583193,1763.3178429426052,-1090.250923243003,14.565750987468281,0.06867587875583193,50414.0784696998,-13658.247760127324,18.743209999999998,0.0672846125515661,1016.7056693485765,-675.388519764036,15.742585043156856,0.06867587875583193,90.74049796096968,-68.40661624354435,13.782897451106587,0.06867587875583193,16.021077755009173,22.880737401258944,0.32548586590269935,-79.49988336359093,23.050188488543636,0.5611340362873486,395.1445945069063,22.244331794631073,0.2805103236939845,85.56091453609497,21.800675203391727,0.32548586590269935,7.83144867665203,22.116830686014197,0.32548586590269935,-310.9202669638471,23.44072301038938,0.32548586590269935,-114.13788514724365,23.397638652141918,0.32548586590269935,32.63633786052196,13.288998500475214,0.32548586590269935,66.95867356072995,13.430290528818086,0.5362639706129531,-99.59501142125373,13.727578197336305,0.5611340362873486
2019-01-15 12:06:00,0,0,0,0.0,0.0,0.0,1,24.07727009116012,0,13.282696497923354,12.2,6.529479366362011,-242.09011854028319,-105.93766344441934,-46.34674318489547,-328.6335807707989,-124.23795547957944,2.96998264,587.9119872833855,-15.776350307279799,-1004.4324509182823,-137.31626474488576,-357.7100297384754,-210.09513916058452,0.045,0.003793146156190157,0.026896284787967992,0.010167979255851426,0.5410746841186826,2.96998264,254.15817825499064,0.08056482450399267,8.296452574642997,0.001794102383498572,2.2966808562214367,0.9834961572914396,0.051836564332547894,-57.735901727746025,-48.20176171667332,21965.830079870415,-5804.4434026963245,19.854321,0.06867587875583193,1722.3167784371117,-1079.7659845030726,14.48539597708185,0.06867587875583193,50417.39204184272,-14373.220779734862,19.854321,0.0672846125515661,1016.5691458491266,-674.0728170010536,15.724232434416844,0.06867587875583193,90.73998974271493,-68.40668252044455,13.782904847926105,0.06867587875583193,14.233124266065715,22.871607351524105,0.32548586590269935,-81.10212327507907,23.03989061759256,0.5611340362873486,395.60263435100205,22.23043666854354,0.2805103236939845,86.1908520211773,21.77924455183248,0.32548586590269935,7.864287261245181,22.100335726371323,0.32548586590269935,-310.4708314427771,23.42700986706058,0.32548586590269935,-112.31794318162429,23.37700929315209,0.32548586590269935,37.19228287639817,13.343906881583623,0.32548586590269935,48.9884123720185,13.55038367245512,0.5362639706129531,-86.18069524840394,13.792470960247005,0.5611340362873486
2019-01-15 12:07:00,0,0,0,0.0,0.0,0.0,1,24.025563057770874,0,13.287607294057821,12.2,6.529479366362011,-230.4974604026625,-95.58400301590464,-45.14837877073883,-327.202892792558,-116.79450281925027,2.96998264,587.843305079744,-0.060629618420115605,-990.3252805712792,-127.82308322347043,-344.920699494688,-208.74695386669936,0.045,0.0037112252974569634,0.026896284787967992,0.009600582020181742,0.5324757645811565,2.96998264,255.67833133988455,0.08081598379267092,8.27507969278426,0.0017941163857314035,2.295404960818994,0.9836672722770062,0.05195398911495553,-58.12915667380323,-37.45484634210142,21908.230432778866,-6301.277238808617,20.965432099999997,0.06867587875583193,1681.3176530022606,-1069.2191152606586,14.404498340511495,0.06867587875583193,50419.46781390686,-15096.374113386955,20.965432099999997,0.0672846125515661,1016.4503862208128,-673.3037245015253,15.713502818436918,0.06867587875583193,90.7396713349839,-68.41585510471076,13.783928546747347,0.06867587875583193,12.439024280283775,22.860907970381493,0.32548586590269935,-82.73884939376148,23.0280707803815,0.5611340362873486,396.56108074058284,22.21409394908643,0.2805103236939845,86.63757328753309,21.758611720921092,0.32548586590269935,7.891855183350572,22.082783561972533,0.32548586590269935,-310.1473742015951,23.41193396315705,0.32548586590269935,-110.64330989638984,23.355413986966273,0.32548586590269935,42.1070435097663,13.405404194889963,0.32548586590269935,29.735727367362415,13.681837997765141,0.5362639706129531,-71.84277087713417,13.864960966610479,0.5611340362873486
2019-01-15 12:08:00,0,0,0,0.0,0.0,0.0,1,23.975422366990784,0,13.295468455417076,12.2,6.529479366362011,-219.4237929832242,-84.98357826590448,-43.97422584813542,-325.8155441318884,-109.72072751240543,2.96998264,587.7844261697953,14.865270875567624,-977.770146207495,-118.75682575609446,-332.7817479172366,-207.4729114925833,0.045,0.0036301009053856114,0.026896284787967992,0.009057517320665679,0.5242096284284321,2.96998264,257.11672186920504,0.08106039606132202,8.253483026045217,0.0017941303777510296,2.294168645925389,0.9838332603687812,0.05214141123988544,-58.7605252968161,-26.22305296908839,21850.435733947386,-6803.773927658903,22.076543209999997,0.06867587875583193,1640.3211690359096,-1058.4476985779766,14.321807824822429,0.06867587875583193,50420.30574868252,-15827.769862385605,22.076543209999997,0.0672846125515661,1016.3485776431861,-672.7751858814111,15.706128478442384,0.06867587875583193,90.73954279411137,-68.42542930956566,13.78499705642163,0.06867587875583193,10.682774767803494,22.849188404033395,0.32548586590269935,-84.38227026861568,23.015325974189928,0.5611340362873486,397.7999126461582,22.196327619294966,0.2805103236939845,87.00642297366448,21.738048686166955,0.32548586590269935,7.91472205385935,22.064766056739725,0.32548586590269935,-309.91222023486625,23.39607326676587,0.32548586590269935,-109.10934193803405,23.33347500891564,0.32548586590269935,47.284705163747276,13.472254902105458,0.32548586590269935,9.588441904525098,13.822002798956742,0.5362639706129531,-56.87314706827601,13.943616654995097,0.5611340362873486
2019-01-15 12:09:00,0,0,0,0.0,0.0,0.0,1,23.926759758835196,0,13.306362453133065,12.2,6.529479366362011,-208.77741988172056,-74.33250336926935,-42.82295704855679,-324.46909271291116,-102.99606337443262,2.96998264,587.8377325182212,29.061390784813824,-966.3459077726085,-110.09225539529147,-321.25117753398575,-206.25547525028242,0.045,0.0035497323908751863,0.026896284787967992,0.008537674357198054,0.5162610278132296,2.96998264,258.54071061418,0.0812984179832205,8.233210106399163,0.0017941443598750925,2.2929695495604117,0.9839944086847094,0.05240003264819602,-59.63922592147102,-14.693277447798323,21904.417055829646,-7311.976332265149,23.187654320999997,0.06867587875583193,1678.6401713764003,-1060.6566215197427,14.338771204396872,0.06867587875583193,50419.90583124103,-16567.47041486157,23.187654320999997,0.0672846125515661,1016.4407506048873,-672.3379451847769,15.700027529393935,0.06867587875583193,90.7396041428229,-68.43415040723744,13.785970346413773,0.06867587875583193,8.987808258978475,22.83674913060478,0.32548586590269935,-86.00572546046169,23.001962117558236,0.5611340362873486,399.17225121258525,22.17774180320596,0.2805103236939845,87.32782110188782,21.717512469551174,0.32548586590269935,7.933796543800554,22.046544625285062,0.32548586590269935,-309.7238001781807,23.37970738245462,0.32548586590269935,-107.69215147861178,23.31144169727232,0.32548586590269935,52.64238410787402,13.543371770047829,0.32548586590269935,-11.120259154617088,13.968576312635351,0.5362639706129531,-41.52212495324784,14.027178121952897,0.5611340362873486
