Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Grid Voltage (-),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Roof Heat Gain - Indoor (W),Internal Mass Heat Gain - Indoor (W),Wall Heat Gain - Indoor (W),Floor Heat Gain - Indoor (W),Window Heat Gain - Indoor (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W),Exterior Wall Ext. Solar Gain (W),Exterior Wall Ext. LWR Gain (W),Exterior Wall Ext. Surface Temperature (C),Exterior Wall Ext. Film Coefficient (m^2-K/W),Attic Wall Ext. Solar Gain (W),Attic Wall Ext. LWR Gain (W),Attic Wall Ext. Surface Temperature (C),Attic Wall Ext. Film Coefficient (m^2-K/W),Attic Roof Ext. Solar Gain (W),Attic Roof Ext. LWR Gain (W),Attic Roof Ext. Surface Temperature (C),Attic Roof Ext. Film Coefficient (m^2-K/W),Window Ext. Solar Gain (W),Window Ext. LWR Gain (W),Window Ext. Surface Temperature (C),Window Ext. Film Coefficient (m^2-K/W),Door Ext. Solar Gain (W),Door Ext. LWR Gain (W),Door Ext. Surface Temperature (C),Door Ext. Film Coefficient (m^2-K/W),Exterior Wall Indoor LWR Gain (W),Exterior Wall Indoor Surface Temperature (C),Exterior Wall Indoor Film Coefficient (m^2-K/W),Attic Floor Indoor LWR Gain (W),Attic Floor Indoor Surface Temperature (C),Attic Floor Indoor Film Coefficient (m^2-K/W),Floor Indoor LWR Gain (W),Floor Indoor Surface Temperature (C),Floor Indoor Film Coefficient (m^2-K/W),Window Indoor LWR Gain (W),Window Indoor Surface Temperature (C),Window Indoor Film Coefficient (m^2-K/W),Door Indoor LWR Gain (W),Door Indoor Surface Temperature (C),Door Indoor Film Coefficient (m^2-K/W),Interior Wall Indoor LWR Gain (W),Interior Wall Indoor Surface Temperature (C),Interior Wall Indoor Film Coefficient (m^2-K/W),Indoor Furniture Indoor LWR Gain (W),Indoor Furniture Indoor Surface Temperature (C),Indoor Furniture Indoor Film Coefficient (m^2-K/W),Attic Wall Attic LWR Gain (W),Attic Wall Attic Surface Temperature (C),Attic Wall Attic Film Coefficient (m^2-K/W),Attic Roof Attic LWR Gain (W),Attic Roof Attic Surface Temperature (C),Attic Roof Attic Film Coefficient (m^2-K/W),Attic Floor Attic LWR Gain (W),Attic Floor Attic Surface Temperature (C),Attic Floor Attic Film Coefficient (m^2-K/W)
2019-05-05 12:00:00,0,0,0,0.0,0.0,0.0,1,21.612673512692595,0.0,12.04296167175197,11.1,8.83061728816898,-202.51197408316574,-159.37021417444163,-13.396321806714386,-290.9815772922788,-0.0,2.96998264,333.90848898166763,-165.40326246038683,-79.0888601704142,-371.6294522534572,-817.2119440703241,-54.04226099525777,0.045,0.0012382615070600789,0.026896284787967992,0.0,0.3725857971634531,2.96998264,98.89594237582747,0.2455842879876387,10.257053174099328,0.004726655063099294,2.301756193289095,0.991146649490669,0.08931650472390588,-86.67338973600813,-72.69682443843351,16329.107546973451,-2739.4584977239906,13.2,0.06867587875583193,2929.4892388800895,-849.4672809466017,13.2,0.06867587875583193,90535.34912785678,-8380.083803338386,13.2,0.0672846125515661,503.24529449234717,-370.5564420755564,11.897380382781162,0.06867587875583193,151.72336523055125,-58.78666304128732,13.2,0.06867587875583193,52.42260706836532,20.50309251914329,0.32548586590269935,-33.820646483960445,20.678748921374183,0.5611340362873486,285.91736666123325,20.12333644232417,0.2805103236939845,1.987398820384442,20.59378335002522,0.32548586590269935,7.124244752300001,19.876463059373005,0.32548586590269935,-224.78954035010247,21.00898180945375,0.32548586590269935,-88.84143046821191,21.004344812861234,0.32548586590269935,18.199806994221944,11.936597760014385,0.32548586590269935,97.78421644189075,11.914044869072269,0.5362639706129531,-115.98402343611815,12.299179036814229,0.5611340362873486
2019-05-05 12:01:00,0,0,0,0.0,0.0,0.0,1,21.569623724940012,0.0,12.03672786321468,11.1,8.83061728816898,-200.15062496272293,-149.97529242341366,-13.28076095677867,-289.7899969462117,-0.0,2.96998264,334.00692421220964,-157.71273802992388,-67.10052904808963,-360.36074998477443,-788.8265728535356,-53.01478261282648,0.045,0.0012326275325533279,0.026896284787967992,0.0,0.3725111864389443,2.96998264,99.9501503002675,0.24623277517039208,10.240406049299137,0.004726668987955368,2.3007736155094958,0.9912914183040553,0.08922985480784067,-86.01687233416838,-63.95842008924529,16385.320828663247,-3202.799772328948,14.309999999999999,0.06867587875583193,2969.9452646919103,-993.1428478573663,14.309999999999999,0.06867587875583193,90529.6069831541,-9054.487925994506,14.309999999999999,0.0672846125515661,503.39364971007046,-374.3785236884162,11.952859536107095,0.06867587875583193,151.73135261316588,-68.68117809672741,14.304624423965027,0.06867587875583193,51.992858105906635,20.467977850307392,0.32548586590269935,-33.9174054084142,20.642906071831487,0.5611340362873486,283.96238835212716,20.09052772369414,0.2805103236939845,2.9106629621901448,20.545486529907343,0.32548586590269935,7.213130466946154,19.830837991047055,0.32548586590269935,-224.79541104212694,20.973102607682883,0.32548586590269935,-87.36622343662384,20.962084164020457,0.32548586590269935,22.03071011621614,11.96363869170644,0.32548586590269935,82.23398321881541,11.997616284348911,0.5362639706129531,-104.26469333501882,12.334025748107555,0.5611340362873486
2019-05-05 12:02:00,0,0,0,0.0,0.0,0.0,1,21.52804024922378,0.0,12.033307869015028,11.1,8.83061728816898,-197.6059889894667,-137.32061091457985,-13.169669483118241,-288.6390028305288,-0.0,2.96998264,334.106736921532,-149.60639466480947,-53.37337328506486,-348.7708076055161,-768.0712384291859,-51.966624430218424,0.045,0.0012271909808021786,0.026896284787967992,0.0,0.3724391901839921,2.96998264,101.23270068418032,0.246861028747496,10.223782049506111,0.004726682904834449,2.299791956143229,0.9914312960543674,0.08918228113699633,-85.6571314583349,-51.66347945624496,16441.405766694683,-3671.9644316656145,15.421,0.06867587875583193,3010.4250211196495,-1138.6241638963113,15.421,0.06867587875583193,90522.73665770389,-9737.36812208964,15.421,0.0672846125515661,503.54408097478665,-374.3769282226372,11.95283638399343,0.06867587875583193,151.74090378192878,-72.0357823562682,14.676258181156523,0.06867587875583193,50.882122242750484,20.462988131350166,0.32548586590269935,-34.67332550636638,20.6367569191642,0.5611340362873486,281.1692376704159,20.087894016731045,0.2805103236939845,3.8397861432968057,20.525684699702104,0.32548586590269935,7.2340356363005185,19.821124902259175,0.32548586590269935,-223.13145709722448,20.962794738357978,0.32548586590269935,-85.32039908918887,20.945814557912936,0.32548586590269935,27.643098954744346,12.018129311749071,0.32548586590269935,60.214574915895355,12.133498766547326,0.5362639706129531,-87.85767387063242,12.401321641653745,0.5611340362873486
2019-05-05 12:03:00,0,0,0,0.0,0.0,0.0,1,21.487762072436254,0.0,12.033705657500386,11.1,8.83061728816898,-194.9847301943522,-121.62854588611077,-13.062564326222171,-287.5241382437098,-0.0,2.96998264,334.2087296297552,-141.86724827383264,-40.550584705994126,-337.7818555366056,-751.629995246533,-50.99490898871636,0.045,0.0012219302780117416,0.026896284787967992,0.0,0.3723695226968302,2.96998264,102.63198973557974,0.2474713041266112,10.208391357173342,0.004726696813813038,2.29881119374843,0.991566820451634,0.0891878158594271,-85.698957905337,-35.929587980773775,16497.36104343713,-4146.6223250716075,16.5321,0.06867587875583193,3050.927616023561,-1279.5836848338045,16.485364454642106,0.06867587875583193,90514.7382052883,-10428.24384956977,16.5321,0.0672846125515661,503.6977977929557,-373.98082816334846,11.947088324597356,0.06867587875583193,151.75201570870036,-72.50797715322504,14.728453999445243,0.06867587875583193,49.53775143336679,20.458774784918102,0.32548586590269935,-35.593415449999156,20.63114582777989,0.5611340362873486,279.9826939741397,20.08271572140851,0.2805103236939845,4.690969863620012,20.507168138725895,0.32548586590269935,7.25101688569373,19.812078366636367,0.32548586590269935,-222.2099998437552,20.954021420176847,0.32548586590269935,-83.6590168630828,20.93145593773598,0.32548586590269935,34.85182530704515,12.096357805881782,0.32548586590269935,32.01950603851583,12.315864250932806,0.5362639706129531,-66.87133134555916,12.496103626537014,0.5611340362873486
2019-05-05 12:04:00,0,0,0,0.0,0.0,0.0,1,21.448668127575168,0.0,12.038744267109749,11.1,8.83061728816898,-192.3936044092577,-103.68706098508278,-12.959077554412184,-286.44205215737594,-0.0,2.96998264,334.31368196567524,-134.47039321439266,-28.436746423510336,-327.34379932453015,-738.1885078617175,-50.138012235568546,0.045,0.0012168291557321138,0.026896284787967992,0.0,0.37230196853437625,2.96998264,104.03754266253037,0.24806528151290594,10.192897024558082,0.004726710714959817,2.297831309065154,0.9916983954527252,0.08925789201864892,-86.2291184033155,-17.457942581767277,16553.185432484275,-4626.777872976519,17.64321,0.06867587875583193,3091.452230197691,-1334.7890745428315,16.899032950827003,0.06867587875583193,90505.61167299034,-11127.121542474133,17.64321,0.0672846125515661,503.85597517071216,-373.79205686137925,11.944348822073728,0.06867587875583193,151.76468489950665,-72.39126570072703,14.715555503859827,0.06867587875583193,48.0642541184352,20.453516475331394,0.32548586590269935,-36.69886720757495,20.624524566742316,0.5611340362873486,279.82837781118724,20.074399518548347,0.2805103236939845,5.420104832688594,20.48893618553172,0.32548586590269935,7.258538753248331,19.80268061057444,0.32548586590269935,-221.62504199480463,20.94450184538251,0.32548586590269935,-82.24736631318956,20.916846889016004,0.32548586590269935,43.35598337774172,12.195139271993968,0.32548586590269935,-1.107522570171568,12.536879974224053,0.5362639706129531,-42.248460807568335,12.614599698379118,0.5611340362873486
2019-05-05 12:05:00,0,0,0,0.0,0.0,0.0,1,21.41066526198439,0.0,12.049060717916765,11.1,8.83061728816898,-189.8364803623469,-84.14292013863945,-12.858921806578817,-285.39016618775264,-0.0,2.96998264,334.4223504974114,-127.38654662011346,-16.904497707497235,-317.41044902731977,-726.8367029388623,-49.33854383872022,0.045,0.0012118750537060304,0.026896284787967992,0.0,0.37223636136114296,2.96998264,105.44262499198462,0.2486442394507852,10.17789775964659,0.004726724608337566,2.296852284429919,0.9918263315559179,0.08940120016391764,-87.31671114099836,3.173791002358911,16608.877648867947,-5112.469489579379,18.754321,0.06867587875583193,3131.998009253238,-1353.0183204831828,17.035241562215617,0.06867587875583193,90495.3571189482,-11834.057113572897,18.754321,0.0672846125515661,504.01975335862943,-373.7375254231767,11.94355743171771,0.06867587875583193,151.77890737427717,-72.30876816995863,14.706437151733088,0.06867587875583193,46.53344903077959,20.447099608142203,0.32548586590269935,-37.88364804881712,20.61675619459096,0.5611340362873486,280.1859346574056,20.063898947480382,0.2805103236939845,6.0912698486708905,20.470184855104762,0.32548586590269935,7.261034889303005,19.79251399379183,0.32548586590269935,-221.22021846382995,20.934012545047747,0.32548586590269935,-80.96782191352031,20.901525999748575,0.32548586590269935,52.90827756444378,12.3114233716645,0.32548586590269935,-38.14229303909087,12.78965397199054,0.5362639706129531,-14.76598452534381,12.753279012425,0.5611340362873486
2019-05-05 12:06:00,0,0,0,0.0,0.0,0.0,1,21.373680784480076,0.0,12.065133352388157,11.1,8.83061728816898,-187.3357331066381,-63.54690737406199,-12.761868787879319,-284.36646830666245,-0.0,2.96998264,334.5354689035194,-120.59494842326411,-5.909125316494425,-307.9446086565995,-716.9243645739487,-48.58668884601454,0.045,0.0012070581295658342,0.026896284787967992,0.0,0.3721725708346553,2.96998264,106.82262134790372,0.24920916199740803,10.163360332891576,0.004726738494004489,2.2958741033636634,0.9919508707533812,0.08962401215370591,-89.01674872430523,25.469841350243243,16664.436386959514,-5603.739173378967,19.8654321,0.06867587875583193,3172.564090838354,-1364.6025136486094,17.121698884028547,0.06867587875583193,90483.97460828468,-12549.111692668808,19.8654321,0.0672846125515661,504.19023810961,-373.72439124931464,11.943366820346071,0.06867587875583193,151.79467867751504,-72.30004829136891,14.705473303480186,0.06867587875583193,45.00255227161688,20.439732627616486,0.32548586590269935,-39.10700786693633,20.608105813834204,0.5611340362873486,280.8726330103309,20.051869790453416,0.2805103236939845,6.715040783571567,20.451109876761496,0.32548586590269935,7.2596612615815275,19.781795893293197,0.32548586590269935,-220.9379104214895,20.922788585581063,0.32548586590269935,-79.80496903866879,20.885761386904083,0.32548586590269935,63.29295583450221,12.442515825550847,0.32548586590269935,-78.20357139832777,13.06816457419107,0.5362639706129531,14.910615563829197,12.909003743164648,0.5611340362873486
2019-05-05 12:07:00,0,0,0,0.0,0.0,0.0,1,21.337655347577613,0.0,12.08730449096954,11.1,8.83061728816898,-184.9031029465271,-42.37064184911317,-12.667729289256304,-283.3693158278125,-0.0,2.96998264,334.6537480862568,-114.07796969019594,4.5950158965103896,-298.915891873944,-708.0331386041422,-47.87411286038813,0.045,0.0012023703186965877,0.026896284787967992,0.0,0.3721104901552175,2.96998264,108.16395953054167,0.24976084294971584,10.149257654087373,0.004726752372015198,2.294896750374228,0.992072210403415,0.08993046062203576,-91.37301439501096,49.002372545897785,16719.860320740823,-6100.629430753812,20.97654321,0.06867587875583193,3213.1496047262012,-1377.465252172542,17.217608058815216,0.06867587875583193,90471.46421329919,-13272.347148795536,20.97654321,0.0672846125515661,504.36850084959156,-373.71844133596295,11.9432804713446,0.06867587875583193,151.8119938836101,-72.31991324591932,14.707669054101094,0.06867587875583193,43.501787212378986,20.43164301099156,0.32548586590269935,-40.33769844375638,20.598813783677837,0.5611340362873486,281.7426579215462,20.03886217392102,0.2805103236939845,7.300423483610757,20.431886642578494,0.32548586590269935,7.255302166566025,19.770730636397005,0.32548586590269935,-220.7277330667348,20.911036472738772,0.32548586590269935,-78.73473927360465,20.869742763364233,0.32548586590269935,74.32250192751417,12.586047029678234,0.32548586590269935,-120.53004099001555,13.36716955220895,0.5362639706129531,46.2075390625032,13.079010040591944,0.5611340362873486
2019-05-05 12:08:00,0,0,0,0.0,0.0,0.0,1,21.302538957655887,0.0,12.115800033439612,11.1,8.83061728816898,-182.5455979563455,-21.01715151004403,-12.576341893393101,-282.39732497164283,-0.0,2.96998264,334.7778762945649,-107.82063240970353,14.643315782821368,-290.2977603937672,-699.883537127295,-47.195007449775666,0.045,0.001197804806364649,0.026896284787967992,0.0,0.37205002907531176,2.96998264,109.45808626869044,0.25029994397244854,10.134932464696032,0.004726766242421355,2.293920210813117,0.9921905166050282,0.09032279782479884,-94.42035451131771,73.40320300127368,16775.14810462585,-6532.692107493006,21.932559337381626,0.06867587875583193,3253.7536732937565,-1391.7149605360362,17.32374813414902,0.06867587875583193,90457.82601355009,-14003.825637234071,22.087654321,0.0672846125515661,504.5555788628979,-373.7137305705016,11.943212105605362,0.06867587875583193,151.830847602856,-72.34484676592403,14.710424981846444,0.06867587875583193,42.05082475223753,20.42300257384472,0.32548586590269935,-41.55612270178972,20.589061559596377,0.5611340362873486,282.70089547640964,20.025258426173348,0.2805103236939845,7.853642523072267,20.41264832924236,0.32548586590269935,7.2486230968337395,19.759465739034567,0.32548586590269935,-220.55701533429965,20.898914485612856,0.32548586590269935,-77.74084781247802,20.85361464362621,0.32548586590269935,85.83402596416818,12.739934344948828,0.32548586590269935,-164.46557916959136,13.682116819245104,0.5362639706129531,78.63155320542865,13.260863633489617,0.5611340362873486
2019-05-05 12:09:00,0,0,0,0.0,0.0,0.0,1,21.268288237630337,0.0,12.15074655519648,11.1,8.83061728816898,-180.26680895398516,0.16970315367704814,-12.487565236783013,-281.44929509851886,-0.0,2.96998264,334.90851925303593,-101.80980566951509,24.264205585535457,-282.06678375239477,-692.2882229740667,-46.54558721061672,0.045,0.0011933556657133457,0.026896284787967992,0.0,0.3719911091055751,2.96998264,110.70006874131676,0.25082703452763955,10.121634998747645,0.004726780105272118,2.2929444707836497,0.9923059333748004,0.09080164021747321,-98.18647995844105,98.35618311211809,16830.298373265407,-6671.4169868087265,22.237551329277423,0.06867587875583193,3294.3754112480738,-1406.4720059263575,17.433544647949397,0.06867587875583193,90443.06009619636,-14743.609553689837,23.1987654321,0.0672846125515661,504.7524754866094,-373.71112733971836,11.943174325780054,0.06867587875583193,151.8512339876446,-72.36919049508026,14.713115643033735,0.06867587875583193,40.66078337108047,20.413935558729914,0.32548586590269935,-42.750008464907296,20.578976726235805,0.5611340362873486,283.6874830296292,20.01131256904317,0.2805103236939845,8.378688465420055,20.393491157386283,0.32548586590269935,7.240062270289286,19.748105425521146,0.32548586590269935,-220.40475492650148,20.886534718801776,0.32548586590269935,-76.81225374502537,20.837477848061507,0.32548586590269935,97.68629800858434,12.90234578014271,0.32548586590269935,-209.44592978269065,14.00906142562024,0.5362639706129531,111.75963177411904,13.452420156953984,0.5611340362873486
