Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Floor Heat Gain - Indoor (W),Internal Mass Heat Gain - Indoor (W),Wall Heat Gain - Indoor (W),Window Heat Gain - Indoor (W),Roof Heat Gain - Indoor (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W),Exterior Wall Ext. Solar Gain (W),Exterior Wall Ext. LWR Gain (W),Exterior Wall Ext. Surface Temperature (C),Exterior Wall Ext. Film Coefficient (m^2-K/W),Attic Wall Ext. Solar Gain (W),Attic Wall Ext. LWR Gain (W),Attic Wall Ext. Surface Temperature (C),Attic Wall Ext. Film Coefficient (m^2-K/W),Attic Roof Ext. Solar Gain (W),Attic Roof Ext. LWR Gain (W),Attic Roof Ext. Surface Temperature (C),Attic Roof Ext. Film Coefficient (m^2-K/W),Window Ext. Solar Gain (W),Window Ext. LWR Gain (W),Window Ext. Surface Temperature (C),Window Ext. Film Coefficient (m^2-K/W),Door Ext. Solar Gain (W),Door Ext. LWR Gain (W),Door Ext. Surface Temperature (C),Door Ext. Film Coefficient (m^2-K/W),Exterior Wall Indoor LWR Gain (W),Exterior Wall Indoor Surface Temperature (C),Exterior Wall Indoor Film Coefficient (m^2-K/W),Attic Floor Indoor LWR Gain (W),Attic Floor Indoor Surface Temperature (C),Attic Floor Indoor Film Coefficient (m^2-K/W),Floor Indoor LWR Gain (W),Floor Indoor Surface Temperature (C),Floor Indoor Film Coefficient (m^2-K/W),Window Indoor LWR Gain (W),Window Indoor Surface Temperature (C),Window Indoor Film Coefficient (m^2-K/W),Door Indoor LWR Gain (W),Door Indoor Surface Temperature (C),Door Indoor Film Coefficient (m^2-K/W),Interior Wall Indoor LWR Gain (W),Interior Wall Indoor Surface Temperature (C),Interior Wall Indoor Film Coefficient (m^2-K/W),Indoor Furniture Indoor LWR Gain (W),Indoor Furniture Indoor Surface Temperature (C),Indoor Furniture Indoor Film Coefficient (m^2-K/W),Attic Wall Attic LWR Gain (W),Attic Wall Attic Surface Temperature (C),Attic Wall Attic Film Coefficient (m^2-K/W),Attic Roof Attic LWR Gain (W),Attic Roof Attic Surface Temperature (C),Attic Roof Attic Film Coefficient (m^2-K/W),Attic Floor Attic LWR Gain (W),Attic Floor Attic Surface Temperature (C),Attic Floor Attic Film Coefficient (m^2-K/W)
2019-05-05 12:00:00,1.5104263297330354,0.9579255508851388,0.0,0.025173772162217254,0.015965425848085645,0.0,1.4604263297330353,0.05,0.9433422175518054,0.014583333333333344,1,HP On,2541.2984732514183,21.666666666666686,2.199557481768845,538.0951837581421,1.3496371385964983,0.1107891911365371,0.1336195750117699,2968.604465873023,22216.838106329353,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,28696.877861697303,21.64839627126226,0.0,12.050707706024973,11.1,8.83061728816898,2410.8857647872387,374.66398653598384,-13.492641080541738,-291.9703519004964,-0.0,2.96998264,358.532459628012,100.9931009135778,-105.48150622608227,7.498399423883432,56.47340228435324,-3.5676952943475455,0.045,0.0012429409858976496,0.026896284787967992,0.0,0.37264776750179524,2.96998264,172.08030187685858,0.27121362898406515,9.61566485756897,0.00472660492477014,2.30529736,0.9965991643944456,0.08942405758822572,-87.4906026897027,-75.94059453245553,16329.107546973451,-2285.5764545290344,12.1,0.06867587875583193,2929.4892388800895,-708.7248877241313,12.1,0.06867587875583193,90535.34912785678,-7719.447814474151,12.1,0.0672846125515661,619.9448967308624,-384.526167457245,12.1,0.06867587875583193,151.72336523055125,-49.046705032811865,12.1,0.06867587875583193,33.896003000671044,20.683655690727253,0.32548586590269935,-54.102978918243025,20.852813308532525,0.5611340362873486,294.3491993124262,20.24844633677162,0.2805103236939845,110.95233955488129,19.27844784676073,0.32548586590269935,7.246244765818233,20.003828393204376,0.32548586590269935,-280.24343408254936,21.24305336885797,0.32548586590269935,-112.09737363300883,21.243053368857954,0.32548586590269935,18.415134733404557,11.919228198179985,0.32548586590269935,102.52380545264896,11.890324435388568,0.5362639706129531,-120.93894018604624,12.292927119085634,0.5611340362873486
2019-05-05 12:01:00,1.132088520989909,0.7135434686005273,0.0,0.018868142016498484,0.011892391143342122,0.0,1.082088520989909,0.05,0.6989601352671939,0.014583333333333344,1,HP On,1854.0824308108279,21.666666666666686,2.1790880601370515,392.58388450272855,0.987693653846586,0.09439486714332303,0.09688335280553247,2152.2714481702333,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.069126558299251,11.1,8.83061728816898,1700.2739288575726,229.54177171130667,-13.542053257749401,-292.476060411858,-0.0,2.96998264,358.6938357344504,-833.2749497622847,-98.057303977055,-380.1205649667971,-181.27644914609178,-171.3928606569343,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,149.23962907635206,0.24477270260647485,10.27870462747204,0.004726618794747307,2.3043175058190046,0.9909651510289139,0.08967928338251062,-89.44017630971886,-73.60193648170302,16385.320828663247,-2739.4584977239906,13.2,0.06867587875583193,2969.9452646919103,-849.4672809466017,13.2,0.06867587875583193,90529.6069831541,-8380.083803338386,13.2,0.0672846125515661,620.2239350465134,-454.7507515030975,13.112067329601528,0.06867587875583193,151.73135261316588,-58.78666304128732,13.2,0.06867587875583193,37.138377307433984,20.444795529611387,0.32548586590269935,-47.64157375771174,20.61040228491985,0.5611340362873486,261.4206466841424,20.073209405585157,0.2805103236939845,86.37820415069473,19.374178058826608,0.32548586590269935,6.705000309978004,19.827358821690122,0.32548586590269935,-244.41620044712909,20.950894326735813,0.32548586590269935,-99.58445424740057,20.958744764960848,0.32548586590269935,18.278940478761797,11.943821993583603,0.32548586590269935,99.09469206570793,11.919670805482825,0.5362639706129531,-117.37363254446973,12.3096215454811,0.5611340362873486
2019-05-05 12:02:00,1.129022558178216,0.7115630522667281,0.0,0.0188170426363036,0.011859384204445468,0.0,1.079022558178216,0.05,0.6969797189333947,0.014583333333333344,1,HP On,1847.895779783709,21.666666666666686,2.1788958499530664,391.27392144395185,0.9840963839983256,0.09492617417989059,0.0965219802123757,2144.2435270477704,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.081409455993146,11.1,8.83061728816898,1688.2889740935666,235.0415897732296,-13.542053257749401,-292.476060411858,-0.0,2.96998264,358.86793570192845,-817.6226707912444,-103.70877862533774,-380.32872581419974,-182.9192790100392,-172.5340051004907,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,143.44132533946492,0.2447734192077871,10.278726413016546,0.004726632737651688,2.303332499644287,0.9909651427327407,0.08984908172446997,-90.7452503633352,-65.48708130738709,16441.405766694683,-3202.799772328948,14.309999999999999,0.06867587875583193,3010.4250211196495,-993.1428478573663,14.309999999999999,0.06867587875583193,90522.73665770389,-9054.487925994506,14.309999999999999,0.0672846125515661,620.5249744181535,-479.44862058995534,13.465471557459875,0.06867587875583193,151.74090378192878,-68.68272683321037,14.304796330791305,0.06867587875583193,38.22703761943558,20.42281311967559,0.32548586590269935,-45.2897840508158,20.586809805984394,0.5611340362873486,258.76958879812446,20.058208295404274,0.2805103236939845,83.5324717548283,19.3926458528285,0.32548586590269935,6.771270543262403,19.80073752980048,0.32548586590269935,-242.64810010615474,20.928392187882128,0.32548586590269935,-99.36248455868918,20.938340314484645,0.32548586590269935,22.165872719902836,11.978266719567134,0.32548586590269935,84.44631678563746,12.009552881414084,0.5362639706129531,-106.61218950553302,12.35408917706034,0.5611340362873486
2019-05-05 12:03:00,1.1250360798759882,0.7089880416651778,0.0,0.01875060133126647,0.011816467361086297,0.0,1.0750360798759881,0.05,0.6944047083318444,0.014583333333333344,1,HP On,1840.911599709042,21.666666666666686,2.178701621324684,389.79508938221863,0.9804606936202156,0.09457538625577253,0.09615681276053577,2136.131302835488,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.09604241134695,11.1,8.83061728816898,1680.105718135132,243.70669184366727,-13.542053257749401,-292.476060411858,-0.0,2.96998264,359.0551408806893,-806.6263377872108,-105.38378335576921,-378.51156651485235,-183.16114372250902,-172.0617230553497,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.2422494556973,0.24477413550275434,10.278748189191225,0.004726646674596135,2.3023479145131844,0.9909651344401144,0.0900509492669181,-92.30519592040545,-53.783201618145895,16497.36104343713,-3671.9644316656145,15.421,0.06867587875583193,3050.927616023561,-1138.6241638963113,15.421,0.06867587875583193,90514.7382052883,-9737.36812208964,15.421,0.0672846125515661,620.8486742453179,-483.4554555742005,13.522682664970588,0.06867587875583193,151.75201570870036,-72.03840257598502,14.676547895302829,0.06867587875583193,38.245914663071744,20.422923978138524,0.32548586590269935,-44.7962000832631,20.5861068436812,0.5611340362873486,255.73983180724463,20.063643221853987,0.2805103236939845,83.05769758540009,19.39917748675464,0.32548586590269935,6.759796599385936,19.80209480850834,0.32548586590269935,-240.19815607297642,20.924311470197125,0.32548586590269935,-98.80888449884878,20.936101578031845,0.32548586590269935,27.83731806281321,12.03985533453286,0.32548586590269935,63.27802686900395,12.151539836769318,0.5362639706129531,-91.11534493182262,12.430628118298486,0.5611340362873486
2019-05-05 12:04:00,1.1219910964191713,0.707021176655912,0.0,0.018699851606986187,0.011783686277598534,0.0,1.0719910964191712,0.05,0.6924378433225786,0.014583333333333344,1,HP On,1835.575793370687,21.666666666666686,2.1785531875662367,388.66528439380204,0.9776817826310952,0.09430931378807603,0.09587774382105511,2129.931763976413,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.114034790482743,11.1,8.83061728816898,1674.5377348262898,255.81600379731492,-13.542053257749401,-292.476060411858,-0.0,2.96998264,359.2558154304524,-799.6594525336067,-106.90763947100791,-376.77080986643415,-183.0705041473599,-171.59389159564012,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.01007248521017,0.24477485149150738,10.278769956000232,0.004726660605583197,2.301363750245732,0.9909651261510328,0.09029854283409956,-94.23096087917432,-38.61831971731281,16553.185432484275,-4146.6223250716075,16.5321,0.06867587875583193,3091.452230197691,-1285.8088540189851,16.5321,0.06867587875583193,90505.61167299034,-10428.24384956977,16.5321,0.0672846125515661,621.1956642030988,-482.8203743479547,13.513617018819488,0.06867587875583193,151.76468489950665,-72.51137343381411,14.728829317201118,0.06867587875583193,37.946709294039465,20.426170614017867,0.32548586590269935,-44.48920518214436,20.588147897612345,0.5611340362873486,252.4215806285938,20.072014003261874,0.2805103236939845,83.23606060468137,19.399386671135034,0.32548586590269935,6.740458809021902,19.806716633870735,0.32548586590269935,-237.55846895768627,20.922314992174254,0.32548586590269935,-98.29713519651341,20.936455470152055,0.32548586590269935,35.10597375747966,12.125075517622102,0.32548586590269935,35.900382480584085,12.339953689064693,0.5362639706129531,-71.0063562380601,12.534482983353723,0.5611340362873486
2019-05-05 12:05:00,1.1198223732520984,0.7056203198786609,0.0,0.01866370622086831,0.011760338664644349,0.0,1.0698223732520984,0.05,0.6910369865453275,0.014583333333333344,1,HP On,1831.775508960532,21.666666666666686,2.1784474602772423,387.86061120820835,0.9757021722853358,0.09412020096676277,0.09567896692068792,2125.515919201978,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.136239107081916,11.1,8.83061728816898,1670.7267038959128,270.5486836452184,-13.542053257749401,-292.476060411858,-0.0,2.96998264,359.47030598948817,-795.0479442996894,-108.46973198360295,-375.10134860511033,-182.8959483983851,-171.14448022821156,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,141.99932596498803,0.2447755671741773,10.278791713447529,0.00472667453061542,2.300380006662025,0.990965117865495,0.09060316425005702,-96.61918410771096,-20.69274345527905,16608.877648867947,-4626.777872976519,17.64321,0.06867587875583193,3131.998009253238,-1346.0322267113754,16.983064260255013,0.06867587875583193,90495.3571189482,-11127.121542474133,17.64321,0.0672846125515661,621.5665436699373,-482.1936412292174,13.504669696795192,0.06867587875583193,151.77890737427717,-72.39543260589498,14.716016043851965,0.06867587875583193,37.41559522200987,20.430612330679295,0.32548586590269935,-44.408784746374295,20.591257273259362,0.5611340362873486,250.1551770617807,20.07922998852634,0.2805103236939845,83.57920276276309,19.398066521238476,0.32548586590269935,6.719289807566497,19.81221120237725,0.32548586590269935,-235.48662187797163,20.921972908922132,0.32548586590269935,-97.97385822975411,20.938296531301656,0.32548586590269935,43.6708447764795,12.230783290834939,0.32548586590269935,3.5558044710560353,12.567001556216333,0.5362639706129531,-47.22664924752462,12.661917533015565,0.5611340362873486
2019-05-05 12:06:00,1.1182820481941222,0.7046253681810923,0.0,0.018638034136568706,0.011743756136351539,0.0,1.0682820481941222,0.05,0.690042034847759,0.014583333333333344,1,HP On,1829.0765820366607,21.666666666666686,2.1783723737833043,387.2891397363067,0.9742961555461337,0.09398589264798862,0.09553779749634875,2122.3798291249786,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.163319602386947,11.1,8.83061728816898,1668.054675997786,287.31314752149035,-13.542053257749401,-292.476060411858,-0.0,2.96998264,359.6989419192748,-791.9210148465049,-110.03997209772359,-373.4934783479695,-182.79980324156884,-170.7090202983672,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.02622499073271,0.24477628255089484,10.278813461537284,0.004726688449695348,2.299396683582281,0.990965109583499,0.09097330144674574,-99.54920544057985,-0.42678677423649347,16664.436386959514,-5112.469489579379,18.754321,0.06867587875583193,3172.564090838354,-1365.7400893889555,17.13018488795184,0.06867587875583193,90483.97460828468,-11834.057113572897,18.754321,0.0672846125515661,621.961882150664,-482.0386217462157,13.502456489614453,0.06867587875583193,151.79467867751504,-72.3138064704124,14.706994053822655,0.06867587875583193,36.7541883855738,20.43518777854747,0.32548586590269935,-44.45352215242019,20.59442640943947,0.5611340362873486,248.9146634337012,20.08449967937818,0.2805103236939845,83.76822540470857,19.398657319584558,0.32548586590269935,6.696446843302397,19.81772260041096,0.32548586590269935,-233.89879959679092,20.922310560342535,0.32548586590269935,-97.78120231806315,20.94054512551133,0.32548586590269935,53.292426482345036,12.352600287536466,0.32548586590269935,-32.97290424331004,12.824934693201307,0.5362639706129531,-20.319522239020444,12.807699819335381,0.5611340362873486
2019-05-05 12:07:00,1.1171501296451447,0.7038942210274556,0.0,0.01861916882741908,0.011731570350457594,0.0,1.0671501296451447,0.05,0.6893108876941222,0.014583333333333344,1,HP On,1827.0934765000459,21.666666666666686,2.1783172048218917,386.8692364666324,0.97326303870347,0.09388709094167459,0.09543407484110762,2120.0756220250037,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.195783856827251,11.1,8.83061728816898,1666.1139444996975,304.976111133964,-13.542053257749401,-292.476060411858,-0.0,2.96998264,359.942035442873,-789.7934455060365,-111.56373698362955,-371.9409026779344,-182.77873074031942,-170.28506299351474,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.06859902925885,0.24477699762179084,10.278835200273488,0.004726702362825528,2.298413780826719,0.9909651013050438,0.09141504886993228,-103.08669495489607,21.193569622227688,16719.860320740823,-5603.739173378967,19.8654321,0.06867587875583193,3213.1496047262012,-1377.4217333014524,17.217283726753564,0.06867587875583193,90471.46421329919,-12549.111692668808,19.8654321,0.0672846125515661,622.3822195157645,-482.0969410825568,13.503289118545567,0.06867587875583193,151.8119938836101,-72.30607337108418,14.706139284263202,0.06867587875583193,36.02646501761774,20.43944483801014,0.32548586590269935,-44.55845969171787,20.597234118545465,0.5611340362873486,248.24430551726255,20.088307396854148,0.2805103236939845,83.80970806638015,19.40075829047118,0.32548586590269935,6.671677132536729,19.822966303882097,0.32548586590269935,-232.547810700431,20.922593281248353,0.32548586590269935,-97.64588534164068,20.942577252180374,0.32548586590269935,63.729296483612416,12.49162280449825,0.32548586590269935,-72.05153027467895,13.110036957625798,0.5362639706129531,8.322233791070175,12.973630211381831,0.5611340362873486
2019-05-05 12:08:00,1.1162738996656056,0.7033282323738992,0.0,0.01860456499442676,0.011722137206231654,0.0,1.0662738996656056,0.05,0.6887448990405658,0.014583333333333344,1,HP On,1825.5585185921298,21.666666666666686,2.1782745061129862,386.54422408960755,0.972463409054067,0.09381049061153855,0.095353797392526,2118.2922520701986,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.23397454186957,11.1,8.83061728816898,1664.6475670435461,323.51104835849424,-13.542053257749401,-292.476060411858,-0.0,2.96998264,360.19988179198685,-788.3483210915451,-113.02162537565505,-370.4388614717612,-182.78334738755038,-169.87208336457442,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.13717948102382,0.24477771238699605,10.278856929660034,0.0047267162700085005,2.297431298215679,0.9909650930301274,0.09193199967009424,-107.28278365465825,44.24960792354492,16775.14810462585,-6100.629430753812,20.97654321,0.06867587875583193,3253.7536732937565,-1390.1798055298098,17.312319002521065,0.06867587875583193,90457.82601355009,-13272.347148795536,20.97654321,0.0672846125515661,622.8280662556655,-482.20715298189873,13.50486260113835,0.06867587875583193,151.830847602856,-72.32703393458732,14.708456119256663,0.06867587875583193,35.26721071288921,20.443262509960416,0.32548586590269935,-44.70239744477294,20.599600476216825,0.5611340362873486,247.831282500214,20.091155005720243,0.2805103236939845,83.80069057926175,19.403022310234793,0.32548586590269935,6.645520041638861,19.82784226343997,0.32548586590269935,-231.30732832309877,20.922559735234213,0.32548586590269935,-97.53497806612722,20.944207661104706,0.32548586590269935,74.82351662297879,12.642111224489577,0.32548586590269935,-113.70262129015464,13.415258845701404,0.5362639706129531,38.87910466718313,13.152403745589867,0.5611340362873486
2019-05-05 12:09:00,1.1155578641992876,0.7028657191536907,0.0,0.018592631069988125,0.01171442865256151,0.0,1.0655578641992876,0.05,0.6882823858203573,0.014583333333333344,1,HP On,1824.3043236298663,21.666666666666686,2.1782396199441387,386.27866052995836,0.971810063571639,0.09374780062764847,0.0952882082284124,2116.8351835321764,22215.080154072963,0.0,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0.0,0,21434.376404107203,21.666666666666686,0.0,12.278139425192693,11.1,8.83061728816898,1663.4925214700102,342.2794239654935,-13.542053257749401,-292.476060411858,-0.0,2.96998264,360.4727593554306,-787.3597946888635,-114.41654172249645,-368.9834525150577,-182.78757847393027,-169.46962983197548,0.045,0.0012453358422612644,0.026896284787967992,0.0,0.3726794825846678,2.96998264,142.2363288697511,0.2447784268466412,10.27887864970122,0.004726730171246809,2.2964492355696238,0.9909650847587488,0.09252621625651551,-112.18157011706255,68.1823335525977,16830.298373265407,-6545.6501658217,21.961088188988164,0.06867587875583193,3294.3754112480738,-1404.3971627377798,17.41811475707052,0.06867587875583193,90443.06009619636,-14003.825637234071,22.087654321,0.0672846125515661,623.299903737451,-482.32317644007463,13.506519026691114,0.06867587875583193,151.8512339876446,-72.35316547463778,14.711344439711915,0.06867587875583193,34.495518576448376,20.446663568302917,0.32548586590269935,-44.87304686387506,20.60156951454269,0.5611340362873486,247.55456760727975,20.09331912975994,0.2805103236939845,83.79241235921745,19.404827315658572,0.32548586590269935,6.6186557222431475,19.83234504996043,0.32548586590269935,-230.1477154463646,20.922223802412695,0.32548586590269935,-97.44039195496225,20.945466514669402,0.32548586590269935,86.3978390632783,12.802747445310567,0.32548586590269935,-156.97420514701662,13.736200794247571,0.5362639706129531,70.57636608374014,13.342763918815077,0.5611340362873486
