Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Floor Heat Gain - Indoor (W),Internal Mass Heat Gain - Indoor (W),Wall Heat Gain - Indoor (W),Window Heat Gain - Indoor (W),Roof Heat Gain - Indoor (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W),Exterior Wall Ext. Solar Gain (W),Exterior Wall Ext. LWR Gain (W),Exterior Wall Ext. Surface Temperature (C),Exterior Wall Ext. Film Coefficient (m^2-K/W),Attic Wall Ext. Solar Gain (W),Attic Wall Ext. LWR Gain (W),Attic Wall Ext. Surface Temperature (C),Attic Wall Ext. Film Coefficient (m^2-K/W),Attic Roof Ext. Solar Gain (W),Attic Roof Ext. LWR Gain (W),Attic Roof Ext. Surface Temperature (C),Attic Roof Ext. Film Coefficient (m^2-K/W),Window Ext. Solar Gain (W),Window Ext. LWR Gain (W),Window Ext. Surface Temperature (C),Window Ext. Film Coefficient (m^2-K/W),Door Ext. Solar Gain (W),Door Ext. LWR Gain (W),Door Ext. Surface Temperature (C),Door Ext. Film Coefficient (m^2-K/W),Exterior Wall Indoor LWR Gain (W),Exterior Wall Indoor Surface Temperature (C),Exterior Wall Indoor Film Coefficient (m^2-K/W),Attic Floor Indoor LWR Gain (W),Attic Floor Indoor Surface Temperature (C),Attic Floor Indoor Film Coefficient (m^2-K/W),Floor Indoor LWR Gain (W),Floor Indoor Surface Temperature (C),Floor Indoor Film Coefficient (m^2-K/W),Window Indoor LWR Gain (W),Window Indoor Surface Temperature (C),Window Indoor Film Coefficient (m^2-K/W),Door Indoor LWR Gain (W),Door Indoor Surface Temperature (C),Door Indoor Film Coefficient (m^2-K/W),Interior Wall Indoor LWR Gain (W),Interior Wall Indoor Surface Temperature (C),Interior Wall Indoor Film Coefficient (m^2-K/W),Indoor Furniture Indoor LWR Gain (W),Indoor Furniture Indoor Surface Temperature (C),Indoor Furniture Indoor Film Coefficient (m^2-K/W),Attic Wall Attic LWR Gain (W),Attic Wall Attic Surface Temperature (C),Attic Wall Attic Film Coefficient (m^2-K/W),Attic Roof Attic LWR Gain (W),Attic Roof Attic Surface Temperature (C),Attic Roof Attic Film Coefficient (m^2-K/W),Attic Floor Attic LWR Gain (W),Attic Floor Attic Surface Temperature (C),Attic Floor Attic Film Coefficient (m^2-K/W)
2019-05-05 12:00:00,1.0847524181343373,0.6829673667260849,0.0,1.0847524181343373,0.6829673667260849,0.0,1.0347524181343373,0.05,0.6683840333927515,0.014583333333333344,1.0,1780.8398101433295,21.666666666666686,2.1901031183142816,377.0754734121646,0.9440087946476795,0.09074362348665775,0.09188914979313892,2067.1716600688364,22510.953573449027,0.0,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,21555.418095067038,21.666362160076613,0.0,14.61423900048868,11.65,8.83061728816898,1648.6022539204066,363.6078308831913,-12.551761342208506,-276.7308975047977,0.0,2.96998264,386.9488629444912,-768.7973355400119,-129.5230078676615,-340.0606597956982,-171.716480200485,-159.8500864315435,0.045,0.0012184168696338306,0.026896284787967992,0.0,0.3723229946296093,2.96998264,154.07511998408344,0.24523984123025785,10.268038621000292,0.004727133328418256,3.645428121034193,0.991058744961626,0.11730990453608917,-389.2513851178574,375.783742588884,18572.46658916853,-7010.8897694038915,23.445146193359303,0.06867587875583193,4306.379087231523,-1720.3649886052806,20.237049629991727,0.06867587875583193,92799.51901202333,-29360.81515417354,42.25551537608005,0.0672846125515661,669.0802086012994,-484.12157948594086,14.108216922423278,0.06867587875583193,159.45978820590562,-73.2088043547166,15.372628007892283,0.06867587875583193,23.775950201355954,20.497817573834027,0.32548586590269935,-46.931279775019966,20.63229676489903,0.5611340362873486,251.86949182870777,20.113107177334463,0.2805103236939845,75.87000616397201,19.538546962408226,0.32548586590269935,6.0845314453069514,19.91566459733181,0.32548586590269935,-215.115218749756,20.923322865474763,0.32548586590269935,-95.55348111456327,20.964384082925417,0.32548586590269935,256.0831139235003,16.25038297102335,0.32548586590269935,-726.3306617873782,19.25519885198838,0.5362639706129531,470.2475478638831,17.30806478608038,0.5611340362873486
2019-05-05 13:00:00,0.9424161372664648,0.5998839499795535,0.0,0.9424161372664648,0.5998839499795535,0.0,0.9174161372664648,0.025,0.5925922833128868,0.007291666666666672,1.0,1596.447203279925,21.666666666666686,2.2163873630397344,338.0321360324116,0.836683846732626,0.0807322905338388,0.07975286276213366,1853.7470487784979,23272.138223575646,0.0,0.0,24.444444444444457,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,20.82773177346946,13.05,8.83061728816898,1531.6361563472742,-486.9628431458145,-10.112999389922287,-236.81126493802424,0.0,2.96998264,446.5153104739198,-767.1875643759325,-143.96939351708468,-286.0807488301069,-156.06031177962103,-141.65990108164985,0.045,0.0011437133677308314,0.026896284787967992,0.0,0.3713336961523721,2.96998264,179.14323475529574,0.244740351417838,10.275244740737135,0.004728727864766403,3.9960995530638193,0.9903943767623148,0.16928404736584338,-1349.0310528162765,524.0360736380504,21342.387898851786,-8627.147423248744,28.065025804527572,0.06867587875583193,6744.049304970587,-2643.751205009638,27.840080649512238,0.06867587875583193,89241.66084775823,-40931.40145173258,57.49449699556729,0.0672846125515661,772.0776197717406,-504.63648015429186,15.670726503794416,0.06867587875583193,161.4666953541455,-74.98505577735706,16.82699481197577,0.06867587875583193,-1.0055953722505364,20.62843401765326,0.32548586590269935,-50.75274044628604,20.71411466999709,0.5611340362873486,263.0735502836411,20.169200425678856,0.2805103236939845,55.75445582434978,19.883769766644026,0.32548586590269935,4.5943630432564,20.147257066227716,0.32548586590269935,-183.81277559915833,20.94424658704173,0.32548586590269935,-87.85125773355126,21.006097330177727,0.32548586590269935,361.12145116690925,22.260880787634253,0.32548586590269935,-1015.4081504052796,26.284009509124896,0.5362639706129531,654.2866992383758,23.691792670615346,0.5611340362873486
2019-05-05 14:00:00,0.8169309503857405,0.5276852646613551,0.0,0.8169309503857405,0.5276852646613551,0.0,0.8169309503857405,0.0,0.5276852646613551,0.0,1.0,1430.6241367774267,21.666666666666686,2.230239814554328,302.9207178419939,0.745057889611429,0.07187306077431146,0.07000194755715612,1661.6717938451088,23737.50805273475,0.0,0.0,24.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,23.477394199318617,13.9,8.83061728816898,1407.3234076056833,-1179.3753098093978,-9.913708743264165,-212.66044812586964,0.0,2.96998264,474.7980262871987,-752.5853206693656,-133.13141906844393,-224.1501022364638,-142.4288088371255,-113.56024082919869,0.045,0.0012538087693112036,0.026896284787967992,0.0,0.3727916895577643,2.96998264,196.30344505739052,0.24461333394271426,10.270209025999518,0.00472918397046864,-5.3380741802346305,0.9897853088854405,0.1946409265635472,-1900.7772229023117,418.48119525092,21246.135448116493,-8761.006072974667,29.009682106974026,0.06867587875583193,8267.740058666966,-3273.5905117804673,32.62634959413262,0.06867587875583193,74756.7561271921,-35188.50237226919,51.565438392013355,0.0672846125515661,820.9817701862478,-514.1402798351672,16.562980383353583,0.06867587875583193,150.05787488129678,-72.84812756954044,17.347831932891417,0.06867587875583193,-24.847633441451883,20.774633397267223,0.32548586590269935,-58.338343496488115,20.820216941899012,0.5611340362873486,279.84283817555564,20.233524998342226,0.2805103236939845,45.7198093790934,20.111550781119828,0.32548586590269935,3.453121788949551,20.359857652457027,0.32548586590269935,-166.37736632748627,21.00691344091492,0.32548586590269935,-79.45242607817029,21.062580126822528,0.32548586590269935,265.63867109082474,24.743699238965043,0.32548586590269935,-796.532410487439,27.717090576673694,0.5362639706129531,530.8937393966204,25.69060071713874,0.5611340362873486
2019-05-05 15:00:00,0.7441789139764393,0.4806920915306671,0.0,0.7441789139764393,0.4806920915306671,0.0,0.7441789139764393,0.0,0.4806920915306671,0.0,1.0,1304.0120953809462,21.666666666666686,2.231792503407815,276.11185206005933,0.6787023086931395,0.06547660528329978,0.06344971495750987,1514.647342157706,23876.266365467047,0.0,0.0,24.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,23.614714601285673,14.15,8.83061728816898,1296.9465906691817,-1236.1071573095935,-8.654623647939585,-205.7162783869644,0.0,2.96998264,479.13010169561926,-740.3600147790504,-118.4712983371762,-169.15310587187304,-137.43096951298523,-82.28187646030021,0.045,0.0011216961615778378,0.026896284787967992,0.0,0.3710421222908354,2.96998264,204.33541468313936,0.2443667518251411,10.265502875687167,0.004724380517667344,-20.79260178586815,0.9897881635940528,0.18656956421479995,-1802.0608886989219,289.8418793292691,20100.202432543898,-8441.101285719786,28.37864416318758,0.06867587875583193,9327.61189324663,-3727.125290960327,35.504215019011276,0.06867587875583193,59715.815031853934,-28835.883011069884,43.88513592984832,0.0672846125515661,828.4724393560352,-525.6349970735108,16.751097325942347,0.06867587875583193,136.01265879447837,-71.05518517336021,17.184077064755524,0.06867587875583193,-46.5094353673263,20.90457374209511,0.32548586590269935,-70.14646548551367,20.922310461224416,0.5611340362873486,294.97575274389965,20.289390662733233,0.2805103236939845,45.40930009949687,20.19796386877541,0.32548586590269935,2.90932192988815,20.49857545676614,0.32548586590269935,-154.46645729862055,21.067898779036895,0.32548586590269935,-72.17201662182475,21.112684142931368,0.32548586590269935,136.69919114959404,25.043778775201986,0.32548586590269935,-521.8576900864173,26.742775264913025,0.5362639706129531,385.1584989368303,25.345513273989596,0.5611340362873486
2019-05-05 16:00:00,0.6889243104766413,0.4450011435285358,0.0,0.6889243104766413,0.44500114352853576,0.0,0.6889243104766413,0.0,0.4450011435285358,0.0,1.0,1208.4968086012652,21.666666666666686,2.2341908043944927,255.88742099365803,0.6283124100122098,0.06061190046443142,0.05845391990809926,1403.7723291304917,24015.024678199345,0.0,0.0,24.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,23.299597305548573,14.4,8.83061728816898,1206.0603948586306,-1077.1247058636518,-6.145316300080064,-198.75114014719057,0.0,3.563979167999999,455.3084905615485,-731.0280069232192,-105.4902608205564,-127.06156065426772,-131.05297460987765,-54.212668754182616,0.053999999999999986,0.0008316237944430808,0.026896284787967992,0.0,0.3672006939269064,3.563979167999999,198.89606353663586,0.24386719782281444,10.256091761075513,0.00471464935967817,-31.30164668380584,0.9897939469863231,0.16649766089964377,-1507.1797778463283,174.16765098901834,17668.006207604176,-7701.9874168045535,26.804198571804264,0.06867587875583193,9628.418343077736,-3913.264496191884,36.62232401468373,0.06867587875583193,43242.42577719999,-22503.69944379053,35.42244552613254,0.0672846125515661,787.2820649341585,-529.2719254547198,16.766499934635487,0.06867587875583193,120.09218497195803,-68.92478431273425,16.91871271808929,0.06867587875583193,-62.81504647216486,21.006354276568718,0.32548586590269935,-81.9956018440212,21.008284827876125,0.5611340362873486,307.2801004880672,20.333943871202493,0.2805103236939845,47.11179572430815,20.241297310250904,0.32548586590269935,2.730065076730182,20.58302762380031,0.32548586590269935,-145.87153332012906,21.118496358658604,0.32548586590269935,-66.43977965278852,21.153371590419695,0.32548586590269935,30.880550043556923,24.69419250795871,0.32548586590269935,-281.2531237743361,25.322386060433107,0.5362639706129531,250.3725737307844,24.490378743005248,0.5611340362873486
2019-05-05 17:00:00,0.6916900660611486,0.4467876451501358,0.0,0.6916900660611486,0.4467876451501358,0.0,0.6916900660611486,0.0,0.4467876451501358,0.0,1.0,1207.3098188288557,21.666666666666686,2.222978917569627,255.6360874779665,0.630843285499159,0.06084678056198957,0.059169814112652326,1402.0991257448325,23710.887290329007,0.0,0.0,24.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,21.957578500915908,13.85,8.83061728816898,1172.059067504872,-1014.8839752484243,-6.917522473530783,-214.34970947987702,0.0,6.533961808,396.4688555831879,-728.0972829548804,-102.50531086294036,-102.85221279043887,-136.0959695640305,-36.83587005905991,0.099,0.0008655357613597866,0.026896284787967992,0.0,0.36764979010548154,6.533961808,179.48251882142415,0.24317198605359425,10.242994266862974,0.004701107366477611,-50.363047904543336,0.9898019955303314,0.15737459625875963,-1301.1316715234534,30.611608797062573,15904.515206539505,-7122.757345552205,25.053279706776742,0.06867587875583193,8365.434854796504,-3514.8827422906343,33.631523971160895,0.06867587875583193,23552.70229463159,-14886.614862928873,24.227229066557776,0.0672846125515661,685.5413983619108,-511.8402511924605,15.950904301924375,0.06867587875583193,186.513023367161,-87.09266478599271,18.302326133852556,0.06867587875583193,-74.78890140254528,21.05555257031807,0.32548586590269935,-92.1211503660977,21.048350727621813,0.5611340362873486,311.5781516116737,20.349220092427288,0.2805103236939845,59.48930129860684,20.09903830032943,0.32548586590269935,2.345551654136286,20.645699249007862,0.32548586590269935,-142.09377162911903,21.134547898481262,0.32548586590269935,-64.40918116665077,21.167178958213732,0.32548586590269935,-75.89983132274007,23.156612310384677,0.32548586590269935,1.8646118478509985,22.617307421490086,0.5362639706129531,74.03521947489534,22.496230534487367,0.5611340362873486
2019-05-05 18:00:00,0.7987247847249841,0.507068505345467,0.0,0.7987247847249841,0.507068505345467,0.0,0.773724784724984,0.025,0.4997768386788003,0.007291666666666672,1.0,1335.0470024640244,21.666666666666686,2.197230478436875,282.6831911631044,0.7056664998675592,0.06805828485742484,0.06757376553893793,1549.6719087697043,22971.77050284101,0.0,0.0,24.444444444444457,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,19.51935228297867,12.5,8.83061728816898,1209.1629860835278,-917.8512384088161,-10.264491976614925,-252.4914939856308,0.0,10.691937504,262.028014753861,-734.4957065688345,-114.49500526878633,-100.03185037233652,-151.05854901095537,-34.14902763395371,0.162,0.001077499144137852,0.026896284787967992,0.0,0.370456821187969,10.691937504,126.18003207774902,0.2421607128428661,10.223882201336435,0.004681409812966922,-33.72475649017843,0.9898137031528156,0.15229775458289382,-1096.8376442397484,-103.69678533217228,10612.635759276372,-5422.182019270598,20.018240623500898,0.06867587875583193,5022.545784545545,-2368.505970205319,24.810704554338926,0.06867587875583193,8702.139295319206,-9335.694729602003,14.227679127854122,0.0672846125515661,453.0773328465562,-471.69587633621137,14.00534495199823,0.06867587875583193,185.80739263407818,-89.58093982549802,17.212083850734686,0.06867587875583193,-82.85406186514314,21.0387544318615,0.32548586590269935,-99.73679245294625,21.026772286708805,0.5611340362873486,305.5805886163101,20.324675150895715,0.2805103236939845,86.32995961796424,19.705066402675353,0.32548586590269935,1.8632727959046291,20.660975746403505,0.32548586590269935,-143.90113619104366,21.102971706297353,0.32548586590269935,-67.28183052104524,21.144879929531946,0.32548586590269935,-152.36471290748548,20.448840408058917,0.32548586590269935,251.9614740096097,18.945615725448246,0.5362639706129531,-99.59676110211889,19.518608081263995,0.5611340362873486
2019-05-05 19:00:00,0.9946457103310915,0.6247641832961172,0.0,0.9946457103310915,0.6247641832961172,0.0,0.9446457103310915,0.05,0.6101808499627838,0.014583333333333344,1.0,1600.9341392602194,21.666666666666686,2.157450391986166,338.98220099575235,0.861565615784962,0.08308009454612938,0.08492913231471722,1856.8362457098422,21926.878177276285,0.0,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,16.43720920421059,10.55,8.83061728816898,1338.4413984126363,-740.0160144576924,-15.761133630890999,-308.15212990143226,0.0,10.691937504,78.87882058572794,-751.6093569393316,-148.25605882356183,-130.84554235371283,-174.43879776967023,-51.698486019435286,0.162,0.0013640204748449035,0.026896284787967992,0.0,0.37425122317641285,10.691937504,50.72858518074028,0.2419615096203357,10.220122067354911,0.00467752986290904,-1.2064426409639073,0.989816009350688,0.14635848440280724,-889.2920285023191,-189.70618695112566,3104.519537834449,-2864.286837192833,12.43842534200632,0.06867587875583193,1371.5258841272034,-1107.6837517669217,14.106960089289231,0.06867587875583193,1023.5031940889128,-6143.302336589667,7.549571840261978,0.0672846125515661,136.3907812782337,-401.7992130382793,11.31914744887701,0.06867587875583193,71.7076603232745,-61.51688275734048,12.454092463715622,0.06867587875583193,-82.15704436959653,20.9312975079621,0.32548586590269935,-102.51318858977672,20.92565211050364,0.5611340362873486,286.4978148423392,20.25120374459231,0.2805103236939845,121.64242542884524,19.123121480529026,0.32548586590269935,2.776099570273802,20.459586009870407,0.32548586590269935,-150.2728554712463,21.008138937257335,0.32548586590269935,-75.97325141083935,21.07658602424126,0.32548586590269935,-167.61348864150617,17.022548173445724,0.32548586590269935,390.8523809994929,15.123513636705928,0.5362639706129531,-223.23889235798245,16.169305057372508,0.5611340362873486
2019-05-05 20:00:00,1.1377634595272001,0.7172091167713714,0.0,1.1377634595272001,0.7172091167713714,0.0,1.0877634595272,0.05,0.7026257834380379,0.014583333333333344,1.0,1826.6852118807649,21.666666666666686,2.13469573787018,386.7827904125202,0.9920581633585893,0.09570529616861077,0.09934635071906504,2117.7627061246744,21316.965251329213,0.0,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,13.624878992133342,9.4,8.83061728816898,1490.7949521609414,-354.3625466907786,-17.963037559890335,-341.4546284068075,0.0,10.691937504,0.0,-767.4574380819598,-187.20404467541584,-187.98923245335638,-190.76997344597729,-79.40118047682819,0.162,0.0014149778677192797,0.026896284787967992,0.0,0.37492605193129586,10.691937504,12.835468742874374,0.2421070053535437,10.225520231814192,0.004677651910175653,0.7395846555991952,0.9903854737303049,0.11851222648004096,-526.9119208616014,-214.23341624169734,0.0,-1606.160205869375,8.282553147827791,0.06867587875583193,0.0,-547.9598893425397,8.690104868396421,0.06867587875583193,0.0,-5428.172033419044,5.263201055919832,0.0672846125515661,0.0,-373.7020187673778,9.83099562417817,0.06867587875583193,0.0,-40.720689114294586,9.019405054340028,0.06867587875583193,-66.84644261943359,20.779211381633953,0.32548586590269935,-99.17253960979178,20.801888000568063,0.5611340362873486,263.2131654259892,20.17295115755359,0.2805103236939845,139.36699661471667,18.76404706085985,0.32548586590269935,5.100368660255229,20.09834742215865,0.32548586590269935,-156.33740891384187,20.90073420709454,0.32548586590269935,-85.32413955789846,20.999149399904475,0.32548586590269935,-128.47313566777564,13.818345883495537,0.32548586590269935,403.02906487915703,12.142546538510048,0.5362639706129531,-274.55592921137725,13.336644560754204,0.5611340362873486
2019-05-05 21:00:00,1.2302565427698977,0.7769537464579094,0.0,1.2302565427698977,0.7769537464579094,0.0,1.1802565427698974,0.05,0.762370413124576,0.014583333333333344,1.0,1971.8997374120308,21.666666666666686,2.1237807412302634,417.53055090683324,1.07643521619642,0.10382132657347762,0.10873711292131748,2285.6089617453863,21031.6761991374,0.0,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,21434.376404107203,21.666666666666686,0.0,11.907171922737282,8.85,8.83061728816898,1610.1367378098812,-171.43619985866778,-22.254692511110242,-357.70611022506336,0.0,12.077929402666665,0.0,-776.9525181593132,-212.3019512505269,-244.700717603426,-200.02194344722471,-104.09270184775924,0.183,0.0016597904300212332,0.026896284787967992,0.0,0.3781681046988935,12.077929402666665,6.1198737313573055,0.24227606732807,10.23167215868998,0.004678045554067135,1.4579095153841743,0.9909940548533316,0.12174854440593613,-391.36559671083074,-197.60115405467027,0.0,-1573.5954260103254,7.664552524152195,0.06867587875583193,0.0,-510.76479334492984,7.852103030291141,0.06867587875583193,0.0,-5346.60805705667,4.598394239261169,0.0672846125515661,0.0,-377.61708056226684,9.363156114494634,0.06867587875583193,0.0,-40.02871912166528,8.406774412374494,0.06867587875583193,-45.79769720644993,20.644829106202035,0.32548586590269935,-93.3919772294601,20.704464668419533,0.5611340362873486,244.42180116461168,20.117716413428536,0.2805103236939845,143.475114901689,18.619138851190435,0.32548586590269935,6.712819453959681,19.841443687433287,0.32548586590269935,-163.46855254639667,20.82574415751934,0.32548586590269935,-91.9515085379527,20.940538778036046,0.32548586590269935,-80.13504023455508,11.83072725623425,0.32548586590269935,347.5412585434322,10.601352575796117,0.5362639706129531,-267.4062183088726,11.706940219034136,0.5611340362873486
