Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - East, poa_global (W/m^2)","Exterior Wall Irradiance - East, poa_direct (W/m^2)","Exterior Wall Irradiance - East, poa_diffuse (W/m^2)","Exterior Wall Irradiance - East, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - East, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - North, poa_global (W/m^2)","Exterior Wall Irradiance - North, poa_direct (W/m^2)","Exterior Wall Irradiance - North, poa_diffuse (W/m^2)","Exterior Wall Irradiance - North, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - North, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_global (W/m^2)","Exterior Wall Irradiance - West, poa_direct (W/m^2)","Exterior Wall Irradiance - West, poa_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_global (W/m^2)","Exterior Wall Irradiance - South, poa_direct (W/m^2)","Exterior Wall Irradiance - South, poa_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_ground_diffuse (W/m^2)",Attic Wall Irradiance (W),"Attic Wall Irradiance - West, poa_global (W/m^2)","Attic Wall Irradiance - West, poa_direct (W/m^2)","Attic Wall Irradiance - West, poa_diffuse (W/m^2)","Attic Wall Irradiance - West, poa_sky_diffuse (W/m^2)","Attic Wall Irradiance - West, poa_ground_diffuse (W/m^2)","Attic Wall Irradiance - East, poa_global (W/m^2)","Attic Wall Irradiance - East, poa_direct (W/m^2)","Attic Wall Irradiance - East, poa_diffuse (W/m^2)","Attic Wall Irradiance - East, poa_sky_diffuse (W/m^2)","Attic Wall Irradiance - East, poa_ground_diffuse (W/m^2)",Attic Roof Irradiance (W),"Attic Roof Irradiance - North, poa_global (W/m^2)","Attic Roof Irradiance - North, poa_direct (W/m^2)","Attic Roof Irradiance - North, poa_diffuse (W/m^2)","Attic Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Attic Roof Irradiance - North, poa_ground_diffuse (W/m^2)","Attic Roof Irradiance - South, poa_global (W/m^2)","Attic Roof Irradiance - South, poa_direct (W/m^2)","Attic Roof Irradiance - South, poa_diffuse (W/m^2)","Attic Roof Irradiance - South, poa_sky_diffuse (W/m^2)","Attic Roof Irradiance - South, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - North, poa_global (W/m^2)","Window Irradiance - North, poa_direct (W/m^2)","Window Irradiance - North, poa_diffuse (W/m^2)","Window Irradiance - North, poa_sky_diffuse (W/m^2)","Window Irradiance - North, poa_ground_diffuse (W/m^2)","Window Irradiance - East, poa_global (W/m^2)","Window Irradiance - East, poa_direct (W/m^2)","Window Irradiance - East, poa_diffuse (W/m^2)","Window Irradiance - East, poa_sky_diffuse (W/m^2)","Window Irradiance - East, poa_ground_diffuse (W/m^2)","Window Irradiance - South, poa_global (W/m^2)","Window Irradiance - South, poa_direct (W/m^2)","Window Irradiance - South, poa_diffuse (W/m^2)","Window Irradiance - South, poa_sky_diffuse (W/m^2)","Window Irradiance - South, poa_ground_diffuse (W/m^2)","Window Irradiance - West, poa_global (W/m^2)","Window Irradiance - West, poa_direct (W/m^2)","Window Irradiance - West, poa_diffuse (W/m^2)","Window Irradiance - West, poa_sky_diffuse (W/m^2)","Window Irradiance - West, poa_ground_diffuse (W/m^2)",Door Irradiance (W),"Door Irradiance - North, poa_global (W/m^2)","Door Irradiance - North, poa_direct (W/m^2)","Door Irradiance - North, poa_diffuse (W/m^2)","Door Irradiance - North, poa_sky_diffuse (W/m^2)","Door Irradiance - North, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Cooking Range (kW),Cooking Range (therms/hour),Dishwasher (kW),Clothes Washer (kW),Clothes Dryer (kW),Clothes Dryer (therms/hour),Dishwasher (L/min),Clothes Washer (L/min),Water Fixtures (L/min),Water Heating Setpoint (C),Occupancy (Persons),Refrigerator (kW),Indoor Lighting (kW),Exterior Lighting (kW),MELs (kW),TV (kW),HVAC Heating Setpoint (C),HVAC Cooling Setpoint (C),Ventilation Fan (kW),Ventilation Rate (cfm)
2019-07-15 12:00:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.377598586037337,18.383182571077384,71.62240141396266,71.61681742892262,176.6030708893461,-5.998887104116875,1321.142256717177,1.0532889308182232,19292.607670764526,148.27425769709683,16.85532044868143,131.4189372484154,36.218937248415415,95.19999999999999,130.25024296300555,0.0,130.25024296300555,35.050242963005566,95.19999999999999,130.25024296300555,0.0,130.25024296300555,35.050242963005566,95.19999999999999,433.9038283510953,283.9643976448041,149.9394307062912,54.73943070629123,95.19999999999999,3739.0491733288973,130.25024296300555,0.0,130.25024296300555,35.050242963005566,95.19999999999999,148.27425769709683,16.85532044868143,131.4189372484154,36.218937248415415,95.19999999999999,109276.75249660021,740.9233689346814,638.6098307637824,102.31353817089901,92.263006754091,10.050531416808012,1012.5193923504036,892.5953092932076,119.92408305719596,109.87355164038794,10.050531416808012,2477.320256088224,111.23370749040673,-0.0,111.23370749040673,35.050242963005566,95.19999999999999,112.60855779580855,0.37678538566180547,112.23177241014675,36.218937248415415,95.19999999999999,276.4190375039742,148.37076368080153,128.04827382317268,54.73943070629123,95.19999999999999,111.23370749040673,-0.0,111.23370749040673,35.050242963005566,95.19999999999999,242.01287064003643,130.25024296300555,0.0,130.25024296300555,35.050242963005566,95.19999999999999,959.969695166129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:01:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.367569918648513,18.373150622088858,71.63243008135149,71.62684937791114,177.34025493693423,-5.998955217233743,1321.142256717177,1.0532278237612958,19219.04610458941,144.35232152915833,13.193503220281258,131.15881830887707,35.9588183088771,95.19999999999999,130.24400330575963,0.0,130.24400330575963,35.04400330575964,95.19999999999999,130.24400330575963,0.0,130.24400330575963,35.04400330575964,95.19999999999999,433.9446745038224,284.0080383789329,149.9366361248895,54.73663612488952,95.19999999999999,3686.315419073754,130.24400330575963,0.0,130.24400330575963,35.04400330575964,95.19999999999999,144.35232152915833,13.193503220281258,131.15881830887707,35.9588183088771,95.19999999999999,109282.05629843872,740.9448636310186,638.6348510250443,102.31001260597426,92.25948118916625,10.050531416808012,1012.5830018754912,892.6593630137098,119.92363886178136,109.87310744497334,10.050531416808012,2476.220423634832,111.22837882311873,-0.0,111.22837882311873,35.04400330575964,95.19999999999999,112.23427467147201,0.22464383569098584,112.00963083578102,35.9588183088771,95.19999999999999,276.4624396399452,148.4165523892896,128.04588725065562,54.73663612488952,95.19999999999999,111.22837882311873,-0.0,111.22837882311873,35.04400330575964,95.19999999999999,242.00127697750236,130.24400330575963,0.0,130.24400330575963,35.04400330575964,95.19999999999999,960.0194890356919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:02:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.360009000640005,18.365587230231327,71.63999099936,71.63441276976867,178.07807735509004,-5.999023326261522,1321.142256717177,1.0531817792779283,19145.332808815743,140.4316290596403,9.531426790744073,130.90020226889624,35.700202268896255,95.19999999999999,130.23929877995567,0.0,130.23929877995567,35.03929877995567,95.19999999999999,130.23929877995567,0.0,130.23929877995567,35.03929877995567,95.19999999999999,433.9760098542641,284.04144546184415,149.93456439241993,54.734564392419955,95.19999999999999,3633.6189691903096,130.23929877995567,0.0,130.23929877995567,35.03929877995567,95.19999999999999,140.4316290596403,9.531426790744073,130.90020226889624,35.700202268896255,95.19999999999999,109286.05304595965,740.9608117941251,638.653473198079,102.30733859604608,92.25680717923807,10.050531416808012,1012.6311850838716,892.7078653900719,119.92331969379977,109.87278827699176,10.050531416808012,2475.2234730878026,111.22436115808215,-0.0,111.22436115808215,35.03929877995567,95.19999999999999,111.90118227892283,0.11240954128544943,111.78877273763739,35.700202268896255,95.19999999999999,276.495725548627,148.45160755750035,128.04411799112663,54.734564392419955,95.19999999999999,111.22436115808215,-0.0,111.22436115808215,35.03929877995567,95.19999999999999,241.99253568252345,130.23929877995567,0.0,130.23929877995567,35.03929877995567,95.19999999999999,960.0570127995443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:03:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.354918938403472,18.36049550270306,71.64508106159653,71.63950449729694,178.81635878852308,-5.999091431185661,1321.142256717177,1.0531507943949021,19071.46952641509,136.51226619451066,5.869165774981613,130.64310041952905,35.44310041952907,95.19999999999999,130.2361315357746,0.0,130.2361315357746,35.03613153577462,95.19999999999999,130.2361315357746,0.0,130.2361315357746,35.03613153577462,95.19999999999999,433.9978353431914,284.0646182208644,149.933217122327,54.733217122327005,95.19999999999999,3580.9610057873906,130.2361315357746,0.0,130.2361315357746,35.03613153577462,95.19999999999999,136.51226619451066,5.869165774981613,130.64310041952905,35.44310041952907,95.19999999999999,109288.74273962417,740.971213968565,638.6656968653219,102.30551710324308,92.25498568643506,10.050531416808012,1012.663941438381,892.740815403073,119.92312603530803,109.87259461850002,10.050531416808012,2474.3260548999947,111.22165633155151,-0.0,111.22165633155151,35.03613153577462,95.19999999999999,111.60827797591136,0.03907021763357171,111.5692077582778,35.44310041952907,95.19999999999999,276.51889286856647,148.47592544609918,128.04296742246726,54.733217122327005,95.19999999999999,111.22165633155151,-0.0,111.22165633155151,35.03613153577462,95.19999999999999,241.98665075026656,130.2361315357746,0.0,130.2361315357746,35.03613153577462,95.19999999999999,960.0822656544991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:04:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.352301815894208,18.357877523999875,71.64769818410579,71.64212247600013,179.55492061658538,-5.999159531962505,1321.142256717177,1.0531348670497571,18997.457801951692,132.59431030347966,2.206787444495081,130.38752285898457,35.187522858984586,95.19999999999999,130.23450301636146,0.0,130.23450301636146,35.03450301636148,95.19999999999999,130.23450301636146,0.0,130.23450301636146,35.03450301636148,95.19999999999999,434.0101516472813,284.07755624855366,149.93259539872764,54.73259539872767,95.19999999999999,3528.3425868873283,130.23450301636146,0.0,130.23450301636146,35.03450301636148,95.19999999999999,132.59431030347966,2.206787444495081,130.38752285898457,35.187522858984586,95.19999999999999,109290.12538520953,740.976070543464,638.6715217705807,102.30454877288322,92.25401735607521,10.050531416808012,1012.6812706425951,892.7582124320952,119.92305821049985,109.87252679369183,10.050531416808012,2473.524680918369,111.22026557597269,-0.0,111.22026557597269,35.03450301636148,95.19999999999999,111.35451807838626,0.003573556813456934,111.35094452157281,35.187522858984586,95.19999999999999,276.53193999421285,148.48950352369945,128.0424364705134,54.73259539872767,95.19999999999999,111.22026557597269,-0.0,111.22026557597269,35.03450301636148,95.19999999999999,241.98362486218295,130.23450301636146,0.0,130.23450301636146,35.03450301636148,95.19999999999999,960.0952471104046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:05:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.352158712309475,18.357734373599413,71.64784128769053,71.64226562640059,180.2935832695849,-5.999227628653898,1321.142256717177,1.0531339962237851,18982.300216970452,130.23441396857336,0.0,130.23441396857336,35.03441396857337,95.19999999999999,130.23441396857336,0.0,130.23441396857336,35.03441396857337,95.19999999999999,131.79098724137842,1.455638477680918,130.3353487636975,35.13534876369753,95.19999999999999,434.0129590869443,284.08025930663,149.93269978031432,54.732699780314334,95.19999999999999,3517.5571896306965,131.79098724137842,1.455638477680918,130.3353487636975,35.13534876369753,95.19999999999999,130.23441396857336,0.0,130.23441396857336,35.03441396857337,95.19999999999999,109290.2009821209,740.9753817047628,638.6709477648525,102.30443393991025,92.25390252310224,10.050531416808012,1012.6831725010284,892.7600561150091,119.92311638601923,109.87258496921122,10.050531416808012,2473.379077975607,111.22018952916164,-0.0,111.22018952916164,35.03441396857337,95.19999999999999,111.22018952916164,-0.0,111.22018952916164,35.03441396857337,95.19999999999999,276.5348659781293,148.49234036574086,128.04252561238843,54.732699780314334,95.19999999999999,111.30725929149281,0.0008714472951361393,111.30638784419767,35.13534876369753,95.19999999999999,241.98345940597858,130.23441396857336,0.0,130.23441396857336,35.03441396857337,95.19999999999999,960.0959568815288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:06:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.354489694025332,18.3600661178955,71.64551030597467,71.6399338821045,181.03216701372844,-5.999295721227099,1321.142256717177,1.0531481819060118,19056.443436716432,130.23586443783267,0.0,130.23586443783267,35.03586443783267,95.19999999999999,130.23586443783267,0.0,130.23586443783267,35.03586443783267,95.19999999999999,135.70879289051058,5.118042267768134,130.59075062274243,35.39075062274244,95.19999999999999,434.0062576492492,284.07272735163474,149.93353029761448,54.73353029761449,95.19999999999999,3570.1712013776173,135.70879289051058,5.118042267768134,130.59075062274243,35.39075062274244,95.19999999999999,130.23586443783267,0.0,130.23586443783267,35.03586443783267,95.19999999999999,109288.9695264441,740.9691474471542,638.6639748209968,102.30517262615736,92.25464120934934,10.050531416808012,1012.6696469561812,892.7463463858043,119.92330057037697,109.87276915356895,10.050531416808012,2474.1793476632183,111.22142822990911,-0.0,111.22142822990911,35.03586443783267,95.19999999999999,111.22142822990911,-0.0,111.22142822990911,35.03586443783267,95.19999999999999,276.5276705554094,148.48443568124657,128.04323487416278,54.73353029761449,95.19999999999999,111.5532415318936,0.028740500071560236,111.52450103182204,35.39075062274244,95.19999999999999,241.98615446605092,130.23586443783267,0.0,130.23586443783267,35.03586443783267,95.19999999999999,960.0843949157987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:07:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.359293814461992,18.364871810063363,71.64070618553801,71.63512818993664,181.77049224193155,-5.999363809696661,1321.142256717177,1.0531774250931625,19130.438748623812,130.23885376803537,0.0,130.23885376803537,35.03885376803539,95.19999999999999,130.23885376803537,0.0,130.23885376803537,35.03885376803539,95.19999999999999,139.62803344893248,8.780354195291988,130.8476792536405,35.647679253640526,95.19999999999999,433.9900469879883,284.0549605350535,149.9350864529348,54.73508645293481,95.19999999999999,3622.825134471154,139.62803344893248,8.780354195291988,130.8476792536405,35.647679253640526,95.19999999999999,130.23885376803537,0.0,130.23885376803537,35.03885376803539,95.19999999999999,109286.4310109452,740.9573675740111,638.6506030337105,102.30676454030056,92.25623312349255,10.050531416808012,1012.6406940886062,892.7170834746703,119.92361061393589,109.87307919712788,10.050531416808012,2475.0749293081903,111.2239811179022,-0.0,111.2239811179022,35.03885376803539,95.19999999999999,111.2239811179022,-0.0,111.2239811179022,35.03885376803539,95.19999999999999,276.5103541437186,148.46579031291225,128.0445638308063,54.73508645293481,95.19999999999999,111.8381500254233,0.09423194281431645,111.74391808260899,35.647679253640526,95.19999999999999,241.9917088233188,130.23885376803537,0.0,130.23885376803537,35.03885376803539,95.19999999999999,960.0605613948318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:08:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.366569116036843,18.372149492013307,71.63343088396316,71.6278505079867,182.50837977114992,-5.999431894037116,1321.142256717177,1.0532217277900369,19204.284563970446,130.24338060288073,0.0,130.24338060288073,35.04338060288074,95.19999999999999,130.24338060288073,0.0,130.24338060288073,35.04338060288074,95.19999999999999,143.5486290255791,12.442504552060136,131.10612447351895,35.90612447351896,95.19999999999999,433.9643264244394,284.02695920309196,149.9373672213474,54.7373672213474,95.19999999999999,3675.5178982069156,143.5486290255791,12.442504552060136,131.10612447351895,35.90612447351896,95.19999999999999,130.24338060288073,0.0,130.24338060288073,35.04338060288074,95.19999999999999,109282.58542510554,740.9400416979206,638.6308326194652,102.30920907845545,92.25867766164744,10.050531416808012,1012.596314116935,892.6722679077344,119.92404620920054,109.87351479239253,10.050531416808012,2476.0693374477423,111.22784703486015,-0.0,111.22784703486015,35.04338060288074,95.19999999999999,111.22784703486015,-0.0,111.22784703486015,35.04338060288074,95.19999999999999,276.4829178439983,148.4364062369676,128.04651160703065,54.7373672213474,95.19999999999999,112.16303684469798,0.19840654431280572,111.96463030038518,35.90612447351896,95.19999999999999,242.00011995769304,130.24338060288073,0.0,130.24338060288073,35.04338060288074,95.19999999999999,960.0244567337531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
2019-07-15 12:09:00,33.3,0.18,83.7,952,902,104,2.6,18.462371161013095,19.045297514097,15.099209965306102,0.006923973229799014,16.202194767132294,18.37631263406952,18.381896198296843,71.62368736593048,71.61810380170316,183.2456511241044,-5.999499974281207,1321.142256717177,1.053281093009514,19277.97924297875,130.24944288853703,0.0,130.24944288853703,35.04944288853705,95.19999999999999,130.24944288853703,0.0,130.24944288853703,35.04944288853705,95.19999999999999,147.47049903497316,16.10442361215548,131.3660754228177,36.16607542281771,95.19999999999999,433.9290949496521,283.9887238969532,149.94037105269888,54.740371052698904,95.19999999999999,3728.248383194385,147.47049903497316,16.10442361215548,131.3660754228177,36.16607542281771,95.19999999999999,130.24944288853703,0.0,130.24944288853703,35.04944288853705,95.19999999999999,109277.43275525873,740.9171692419529,638.6046639165927,102.31250532536019,92.26197390855218,10.050531416808012,1012.5365073988079,892.6119005073953,119.9246068914126,109.87407547460458,10.050531416808012,2477.1659499672087,111.23302422681063,-0.0,111.23302422681063,35.04944288853705,95.19999999999999,111.23302422681063,-0.0,111.23302422681063,35.04944288853705,95.19999999999999,276.4453634427035,148.39628656369865,128.04907687900484,54.740371052698904,95.19999999999999,112.52891367968931,0.34228526860300534,112.1866284110863,36.16607542281771,95.19999999999999,242.01138405302942,130.24944288853703,0.0,130.24944288853703,35.04944288853705,95.19999999999999,959.9760815814309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.045,0.05463061676570198,0.08580854147177047,0.0062152723117198105,0.11075425588767883,0.06288245297652094,21.666666666666686,24.444444444444457,0.01995,56.99
